,brand,style,description,outter ,inner,fabric,trims,item,supplier,ref,spec,width:,weight:,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5
137,edier,eiv4462,lining,0,1,1,0,downproof planet,caroltex 8093ldf3,none,none,none,none, - body,none,raven,noir,deep jungle,none,none
138,edier,eiv4462,lining,0,1,1,0,210t nylon,local sourcing,none,none,none,none," - sleeves
",none,raven,noir,deep jungle,none,none
139,edier,eiv4462,lining,0,1,1,0,micromax - (polytricot approved 03/08/2016),local sourcing,none,none,none,none,#NAME?,none,black,black,black,none,none
140,edier,eiv4462,insulation,0,1,1,0,fake down primaloft black,primaloft,none,none,none,133g," - body
 - sleeves
- collar",none,none,none,none,none,none
141,edier,eiv4462,insulation,0,1,1,0,e loft,local sourcing,none,none,none,60gr, - collar,none,none,none,none,none,none
142,edier,eiv4462,threads,0,1,1,0,topstitching,none,none,none,none,none,all,none,matching,matching,none,none,none
143,edier,eiv4462,threads,0,1,1,0,bartacks,none,none,none,none,none,all,none,matching,matching,none,none,none
144,edier,eiv4462,zippers,1,0,0,1,"vislon zip5mmautolock, open end1 way, dalh slider",none,none,none,none,none,front opening,1,blackmetal effectykk 580,blackmetal effectykk 580,blackmetal effectykk 580,none,none
145,edier,eiv4462,zippers,1,0,0,1,"5mm reversible vislonopen end, 1 waydu slider",none,none,none,none,none,for ias system,1,blackykk 580,blackykk 580,blackykk 580,none,none
146,edier,eiv4462,zippers,1,0,0,1,"reversed coil zip3mmnon lock, close end1 way, dfbw slider",none,none,none,none,none,inner pocket,1,blackykk 580,blackykk 580,blackykk 580,none,none
147,edier,eiv4462,zippers,1,0,0,1,"reversed coil zip3mmnon lock, close end1 way, dfbw slider",none,none,none,none,none,hand pockets,2,blackykk 580,blackykk 580,blackykk 580,none,none
148,edier,eiv4462,zippers,1,0,0,1,"vislon zip5mmautolock, close end1 way, dalh slider",none,none,none,none,none,right chest pocket,1,blackykk 580,blackykk 580,blackykk 580,none,none
149,edier,eiv4462,zippers,1,0,0,1,"coil zip3mmautolock, open end1 way, da slider",none,none,none,none,none,removable hood12 cm,1,nightfall18-4026 tpx,blackykk 580,deep jungle19-0508 tcx,none,none
150,edier,eiv4462,trims,1,0,0,1,puller rubberref: eiw18-03,none,none,none,none,none,center front opening ,1,black,black,black,none,none
151,edier,eiv4462,trims,1,0,0,1,puller rubberref: eis19-05supplier : dragon times,none,none,none,none,none,hand pockets,2,black,black,black,none,none
152,edier,eiv4462,trims,1,0,0,1,puller rubberref: eis19-05supplier : dragon times,none,none,none,none,none,chest pocket,1,black,black,black,none,none
153,edier,eiv4462,trims,1,0,0,1,"drawstring outdoorref: ew026supplier: yf zipper0,2cmelastic",none,none,none,none,none,hood,1,black,black,black,none,none
154,edier,eiv4462,trims,1,0,0,1,drawcordref: eis15u-xmco01supplier: yf zippernot elastic,none,none,none,none,none,inner pocket,1,black,black,black,none,none
155,edier,eiv4462,trims,1,0,0,1,colored pearleis15u-xmper01supplier: unitex,none,none,none,none,none,back hood,1,black,black,black,none,none
156,edier,eiv4462,trims,1,0,0,1,rubber stopperref: eis15u-xmstp01supplier: unitex,none,none,none,none,none,back hood,1,black,black,black,none,none
157,edier,eiv4462,trims,1,0,0,1,colored webbingref: eis15u-xmtre01supplier: yf zipperto hold stoppers,none,none,none,none,none,body hemback hood,1,black,black,black,none,none
158,edier,eiv4462,trims,1,0,0,1,eyelet 12mmlocal sourcing,none,none,none,none,none,back hood,1,black,black,black,none,none
159,edier,eiv4462,trims,1,0,0,1,small plastic snapref : eiw16-16supplier : unitex12mm,none,none,none,none,none,removable hoodcuff flaps3 in 1 connection / 3 points,42 + 43,black,black,black,none,none
160,edier,eiv4462,trims,1,0,0,1,eider hangloopref : eiw18-01supplier : 'yf zipper4mm diameter,none,none,none,none,none,hangloop at collar,1,black/ raven/ misty grey,black/ raven/ misty grey,black/ raven/ misty grey,none,none
161,edier,eiv4462,labels,1,0,0,1,"new rubber plate
ref: eiw18-14
supplier : clotex 
35 mm x 35 mm",none,none,none,none,none,sewn on left shoulder of outside jacket,1,black,black,black,none,none
162,edier,eiv4462,labels,1,0,0,1,woven hangloop eiderref: eiw15-07supplier: sml,none,none,none,none,none,inside collar,1,black,black,black,none,none
163,edier,eiv4462,labels,1,0,0,1,size woven label mmgalpha women topsupplier: smlref: lws18-04with rn + ca numbers,none,none,none,none,none,inside collar under hangloop,1,black,black,black,none,none
164,edier,eiv4462,labels,1,0,0,1,canadian labelfor paddinglocal sourcing,none,none,none,none,none,inside left,1,white,white,white,none,none
165,edier,eiv4462,labels,1,0,0,1,satin care labelref label 1:  smlcl1ref label 2: smlcl2ref label 3: smlcl3supplier: sml,none,none,none,none,none,"under snow skirt, left side at 16cm from the bottommust be out of the store pocket for sms",1,white,white,white,none,none
166,edier,eiv4462,hangtas,1,0,0,1,"plastic pinlocal sourcingto be confirmed10cm, white",none,none,none,none,none,to attach the hangtag,1,none,none,none,none,none
167,edier,eiv4462,hangtas,1,0,0,1,biggencode stickerlocal sourcing5cm x 5cm,none,none,none,none,none,sticked at back of corporate hangtag,1,none,none,none,none,none
