,item,supplier,ref,description,spec,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,fabric,trims,outer,inner
124,zp-561/5    ,utx,,pop in puller- #5       ,,,,cf zipper,1,0.05,0.05,nightfall blue,lunar blue,caviar black,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
125,zp-562/3    ,utx,,pop in puller- #3        ,,,,chest pkt zipper,1,0.049,0.049,nightfall blue,lunar blue,caviar black,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
126,pca224,utx,,cordlock,,,,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,none,,,scott usa,m defined tech jkt,0,1,1,0
127,10mm grosgrain ribbon,woosung,,webbing,,,,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none,,,scott usa,m defined tech jkt,0,1,1,0
128,p481s001,utx,,rubber puller ,,,,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,none,,,scott usa,m defined tech jkt,0,1,1,0
129,1034213,chun wo ho,,custom braid 2.2mm,,,,bottom hem,none,0.109,yard,nightfall blue,marine blue,caviar black,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
130,5mm eyelet,il jin  ,,5mm logo eyelet,,,,hem drawcord exit      ,4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,none,none,,,scott usa,m defined tech jkt,0,1,1,0
131,"3/4"" foldable lycra",woosung,,binding,,,,"cf zipper tape finish, windflap edge",none,0.244,yard,nightfall blue,lunar blue,caviar black,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
132,gramax thread,coats,,normal flatlock,,,,"seams at armhole, sleeves, side seams, chest pocket seam",none,none,0,nightfall blue,lunar blue,caviar black,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
133,sb-dp-804,taekwang,,direct print (matte quality),,,,right bicep,1,none,0,19-4010 eclipse blue,lunar blue,iron grey,moroccan red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
134,ats,taekwang,,ats (matte quality),,,,left chest pocket window,1,none,0,19-4010 eclipse blue,lunar blue,iron grey,19-1650 biking red,none,none,,,scott usa,m defined tech jkt,0,1,1,0
135,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,none,none,,,scott usa,m defined tech jkt,0,1,1,0
136,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,none,none,,,scott usa,m defined tech jkt,0,1,1,0
137,ccl-001,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,none,none,,,scott usa,m defined tech jkt,0,1,1,0
138,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,none,none,,,scott usa,m defined tech jkt,0,1,1,0
139,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,none,none,,,scott usa,m defined tech jkt,0,1,1,0
140,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,none,none,,,scott usa,m defined tech jkt,0,1,1,0
