,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
14,airblaster,AB18WJ1_075F,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket ,1,black,duffel 237,rust 236,butter 510,,,,,1,0
15,airblaster,AB18WJ1_075F,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents, (1)napoleon pocket",6,black,black,black,bone,,,,,1,0
16,airblaster,AB18WJ1_075F,0,1,velcro,hook and loop; l: 2.5cm x h: 1cm,(4)pocket flaps,4,black,olive t1136,rust t0720,gold t0713,,,,,1,0
17,airblaster,AB18WJ1_075F,0,1,velcro,hook and loop,pass pocket at powder skirt,1,black,olive t1137,rust t0721,gold t0714,,,,,1,0
18,airblaster,AB18WJ1_075F,0,1,hand pulls,round barrel stopper - k-018 , (2) hood,2,black,dark olive,black,dark olive,,,,,1,0
19,airblaster,AB18WJ1_075F,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
20,airblaster,AB18WJ1_075F,0,1,webbing,flat webbing tape 2cm width,pass pocket pull tab,1,black,black,black,black,,,,,1,0
21,airblaster,AB18WJ1_075F,0,1,hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
22,airblaster,AB18WJ1_075F,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(6) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt",9,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
23,airblaster,AB18WJ1_075F,0,1,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)",(2) powder skirt,2,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
24,airblaster,AB18WJ1_075F,0,1,hardware,sewing buttons 17mm  ,"(1) storm flap,(2)pocket flaps,(4) cuffs, (2) plastic bag attached to w/c label  ",9,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,1,0
25,airblaster,AB18WJ1_075F,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,dark olive,black,dark olive,,,,,1,0
26,airblaster,AB18WJ1_075F,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
27,airblaster,AB18WJ1_075F,0,1,plastic bag,small plasitc bag,sewn to w/c label,1,clear,clear,clear,clear,,,,,1,0
28,airblaster,AB18WJ1_075F,0,1,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for details",1,bone/ dark green,bone/ dark green,bone/ dark green,bone/ dark green,,,,,1,0
29,airblaster,AB18WJ1_075F,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/off white,black/off white,black/off white,black/off white,,,,,1,0
30,airblaster,AB18WJ1_075F,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
31,airblaster,AB18WJ1_075F,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/off white,black/off white,black/off white,black/off white,,,,,1,0
32,airblaster,AB18WJ1_075F,0,1,branding,abpa_116 airblaster pu label,"left chest, see palcement page for detail",1,mahogany/black,duffel/butter,mahogany/black,duffel/butter,,,,,1,0
33,airblaster,AB18WJ1_075F,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
34,airblaster,AB18WJ1_075F,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
35,airblaster,AB18WJ1_075F,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
36,airblaster,AB18WJ1_075F,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
37,airblaster,AB18WJ1_075F,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB17MP2_054,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, back yoke, back pocket flaps",none,black,khaki,kombu green,dark navy,,,,,1,0
1,airblaster,AB17MP2_054,1,0,shell fabric,sotp069-c1-h 100% polyester 15k/10k+2-layer +breathable coating+dwr (supplied by solis),cargo pockets,none,black,black,camel,oxblood,,,,,1,0
2,airblaster,AB17MP2_054,1,0,lining,210t-e emb07 terry emboss taffeta 100% nylon (supplied by ecoya),inside lining,none,black,black,black,black,,,,,1,0
3,airblaster,AB17MP2_054,1,0,lining, velvety tricot - soto048-1 (supplied by solis),"inside wiastband, inner front pockets, inside fly panel",none,black,black,black,black,,,,,1,0
4,airblaster,AB17MP2_054,1,0,other ,100% poly mesh - sotc025-1 (supplied by solis),vents,none,black,black,black,black,,,,,1,0
5,airblaster,AB17MP2_054,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),inside lower leg gaiters,none,black,black,black,black,,,,,1,0
6,airblaster,AB17MP2_054,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,black,khaki 886,duffel 237,oxblood 097,,,,,1,0
7,airblaster,AB17MP2_054,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close down)",(2) hand pockets pockets ,2,black,khaki 886,duffel 237,oxblood 097,,,,,1,0
8,airblaster,AB17MP2_054,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1(zippers close from c.b. to side seam)",(1) back pockets ,1,black,khaki 886,duffel 237,oxblood 097,,,,,1,0
9,airblaster,AB17MP2_054,0,1,zipper,"ykk no.5 nylon coil zippers,hidden chain, auto-lock slider da8lh1 (zipper close down)", vents,2,black,khaki 886,duffel 237,oxblood 097,,,,,1,0
