,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
12,airblaster,AB17MJ1_050B,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(4) storm flap,4,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,,1,0
13,airblaster,AB17MJ1_050B,0,1,elastic drawcord, 2.5 mm elastic cord,"bottom hem adjustment, hood",2,black,black,black,black,,,,,1,0
14,airblaster,AB17MJ1_050B,0,1,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black,,,,,1,0
15,airblaster,AB17MJ1_050B,0,1,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,,,,,1,0
16,airblaster,AB17MJ1_050B,0,1,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,,,,,1,0
17,airblaster,AB17MJ1_050B,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
18,airblaster,AB17MJ1_050B,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,,,,,1,0
19,airblaster,AB17MJ1_050B,0,1,branding,abem_402 patagoinia font embroidery,"left chest, see placement page for detail",1,dk grey 70021,gold m564,olive 70015,black,,,,,1,0
20,airblaster,AB17MJ1_050B,0,1,woven label,nanotex woven label,sewn in and centered underneath size label label,1,brown,brown,brown,brown,,,,,1,0
21,airblaster,AB17MJ1_050B,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
22,airblaster,AB17MJ1_050B,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
23,airblaster,AB17MJ1_050B,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
24,airblaster,AB17MJ1_050B,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
25,airblaster,AB17MJ1_050B,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB17MJ1_102,1,0,shell fabric,sotp069-q03-ah 100% polyester tpu with wax coating (supplied by solis),"main body, sleeves. hood",none,black wax,camel wax,soviet grey wax,,,,,,1,0
1,airblaster,AB17MJ1_102,1,0,shell fabric,sotp069-2l32-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,,,,willow,,,,,1,0
2,airblaster,AB17MJ1_102,1,0,shell fabric,sotp069-pr03-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,,,,,dirks critterflage,,,,1,0
3,airblaster,AB17MJ1_102,1,0,lining,emb07 taffeta emboss (supplied by ecoya),"inside lining, pocket bag",none,black,black,black,black,old gold,,,,1,0
4,airblaster,AB17MJ1_102,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,white,,,,1,0
5,airblaster,AB17MJ1_102,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,camel 858,grey 014,willow 509,green 567,,,,1,0
6,airblaster,AB17MJ1_102,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),cf,1,black,black,black,black,old gold,,,,1,0
7,airblaster,AB17MJ1_102,0,1,stoppers,barrel stopper k-018,2) hood,2,black,old gold,black,black,old gold,,,,1,0
8,airblaster,AB17MJ1_102,0,1,hardware,"metal eyelets, 12mm (incl. washers)",(2) at hood opening,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,1,0
9,airblaster,AB17MJ1_102,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) cuffs, (2) pockets",10,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass,,,,1,0
10,airblaster,AB17MJ1_102,0,1,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,old gold,black,black,old gold,,,,1,0
11,airblaster,AB17MJ1_102,0,1,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black,,,,1,0
12,airblaster,AB17MJ1_102,0,1,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
13,airblaster,AB17MJ1_102,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,,,,1,0
14,airblaster,AB17MJ1_102,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
15,airblaster,AB17MJ1_102,0,1,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,black/white,,,,1,0
16,airblaster,AB17MJ1_102,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
17,airblaster,AB17MJ1_102,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
18,airblaster,AB17MJ1_102,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear,,,,1,0
19,airblaster,AB17MJ1_102,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
20,airblaster,AB17MJ1_102,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
0,airblaster,AB17MV1_015,1,0,shell fabric,sotp069-q03-ah 100% polyester wax coating tpu membrane (supplied by solis),"main body, pockets",none,black wax,camel wax,soviet grey wax,vintage blue wax,black wax,,,,1,0
1,airblaster,AB17MV1_015,1,0,lining,emb07 taffeta emboss (supplied by ecoya),inside lining pocket bag,none,black,black,black,black,black,,,,1,0
2,airblaster,AB17MV1_015,1,0,other,rin knit,collar,none,black,black,black,black,black,,,,1,0
3,airblaster,AB17MV1_015,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)", (4)c.f.,4,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,,,,1,0
4,airblaster,AB17MV1_015,0,1,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black,,,,1,0
5,airblaster,AB17MV1_015,0,1,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
6,airblaster,AB17MV1_015,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,,,,1,0
7,airblaster,AB17MV1_015,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
8,airblaster,AB17MV1_015,0,1,branding,see see patch,"left chest, see placement page for detail",1,,,,,black/white,,,,1,0
9,airblaster,AB17MV1_015,0,1,branding,abwv_76 glacier seam label,"left pocket, see placement page for detail",1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
10,airblaster,AB17MV1_015,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
11,airblaster,AB17MV1_015,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
12,airblaster,AB17MV1_015,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear,,,,1,0
13,airblaster,AB17MV1_015,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
14,airblaster,AB17MV1_015,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
0,airblaster,AB19MJ2_081-170223,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, sleeves, collar, pockets",none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,AB19MJ2_081-170223,1,0,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),hood,none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,AB19MJ2_081-170223,1,0,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,AB19MJ2_081-170223,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,tbd,tbd,tbd,tbd,,,,,1,0
4,airblaster,AB19MJ2_081-170223,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,AB19MJ2_081-170223,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators",none,tbd,tbd,tbd,tbd,,,,,1,0
6,airblaster,AB19MJ2_081-170223,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
7,airblaster,AB19MJ2_081-170223,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
8,airblaster,AB19MJ2_081-170223,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,1,0
9,airblaster,AB19MJ2_081-170223,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
10,airblaster,AB19MJ2_081-170223,0,1,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,tbd,tbd,tbd,tbd,,,,,1,0
11,airblaster,AB19MJ2_081-170223,0,1,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,tbd,tbd,tbd,tbd,,,,,1,0
12,airblaster,AB19MJ2_081-170223,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,tbd,tbd,tbd,tbd,,,,,1,0
13,airblaster,AB19MJ2_081-170223,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,tbd,tbd,tbd,tbd,,,,,1,0
14,airblaster,AB19MJ2_081-170223,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,tbd,tbd,tbd,tbd,,,,,1,0
15,airblaster,AB19MJ2_081-170223,0,1,stoppers,round barrel stopper - k-018 ,(2) hood,2,tbd,tbd,tbd,tbd,,,,,1,0
16,airblaster,AB19MJ2_081-170223,0,1,stoppers,k343-2n push stoppers,(2) bottom hem,2,tbd,tbd,tbd,tbd,,,,,1,0
17,airblaster,AB19MJ2_081-170223,0,1,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,tbd,tbd,tbd,tbd,,,,,1,0
18,airblaster,AB19MJ2_081-170223,0,1,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black,,,,,1,0
19,airblaster,AB19MJ2_081-170223,0,1,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,tbd,tbd,tbd,tbd,,,,,1,0
20,airblaster,AB19MJ2_081-170223,0,1,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,tbd,tbd,tbd,tbd,,,,,1,0
21,airblaster,AB19MJ2_081-170223,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (5) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",10,tbd,tbd,tbd,tbd,,,,,1,0
22,airblaster,AB19MJ2_081-170223,0,1,hardware,male snap only (incl. washers),(2) powder skirt (2) cuffs,4,tbd,tbd,tbd,tbd,,,,,1,0
23,airblaster,AB19MJ2_081-170223,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,tbd,tbd,tbd,tbd,,,,,1,0
24,airblaster,AB19MJ2_081-170223,0,1,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,tbd,tbd,tbd,tbd,,,,,1,0
25,airblaster,AB19MJ2_081-170223,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
26,airblaster,AB19MJ2_081-170223,0,1,main label,tbd,"inside c.b. neck, see q/a for placement",1,tbd,tbd,tbd,tbd,,,,,1,0
27,airblaster,AB19MJ2_081-170223,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,,,,,1,0
28,airblaster,AB19MJ2_081-170223,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
29,airblaster,AB19MJ2_081-170223,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd,,,,,1,0
30,airblaster,AB19MJ2_081-170223,0,1,branding,abpa_22 workwear label,"left chest, see art placement page for detail",1,tbd,tbd,tbd,tbd,,,,,1,0
31,airblaster,AB19MJ2_081-170223,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
32,airblaster,AB19MJ2_081-170223,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
33,airblaster,AB19MJ2_081-170223,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
34,airblaster,AB19MJ2_081-170223,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
35,airblaster,AB19MJ2_081-170223,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB17MJ2_100,1,0,shell fabric,sotp069-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,,vintage blue,red dawn,,,,,1,0
1,airblaster,AB17MJ2_100,1,0,shell fabric,sotp069-pr03-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,,wood duck critterflage,,,night jungle,,,,1,0
2,airblaster,AB17MJ2_100,1,0,lining,emb07 taffeta emboss (supplied by ecoya),"inside lining, pocket bag",none,old gold,black,old gold,black,black,,,,1,0
3,airblaster,AB17MJ2_100,1,0,pellon,lightweight interfacing (item# tbd),"collar, placket, cuffs",none,white,white,white,white,white,,,,1,0
4,airblaster,AB17MJ2_100,0,1,hardware,shirt buttons  17mm ,(5) c.f,5,black,black,black,black,black,,,,1,0
5,airblaster,AB17MJ2_100,0,1,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(2) cuffs,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,,,,1,0
6,airblaster,AB17MJ2_100,0,1,hardware,male snap only (incl. washers),(2) cuffs,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-17 mid dark anti brass,,,,1,0
7,airblaster,AB17MJ2_100,0,1,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black,,,,1,0
8,airblaster,AB17MJ2_100,0,1,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
9,airblaster,AB17MJ2_100,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black,,,,1,0
10,airblaster,AB17MJ2_100,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
11,airblaster,AB17MJ2_100,0,1,branding,abwv_75  glacier seam label,"left side seam, see placement page for detail",1,black/cream,black/cream,black/cream,black/cream,black/cream,,,,1,0
12,airblaster,AB17MJ2_100,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
13,airblaster,AB17MJ2_100,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
14,airblaster,AB17MJ2_100,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear,,,,1,0
15,airblaster,AB17MJ2_100,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
16,airblaster,AB17MJ2_100,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd,,,,1,0
0,airblaster,AB18WJ1_091,1,0,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"upper body, sleeves, hood, top half of storm flap, pockets, back neck self fabric patch",none,black,navy,oxblood,mint julep,,,,,1,0
1,airblaster,AB18WJ1_091,1,0,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"lower body, lower half of storm flap",none,black,camel,oxide,mint julep,,,,,1,0
2,airblaster,AB18WJ1_091,1,0,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,old gold,old gold,black,black,,,,,1,0
3,airblaster,AB18WJ1_091,1,0,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,old gold,old gold,black,black,,,,,1,0
4,airblaster,AB18WJ1_091,1,0,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, large internal goggle pocket",none,old gold,old gold,black,black,,,,,1,0
5,airblaster,AB18WJ1_091,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators, hood drawcord tunnel",none,old gold,old gold,black,black,,,,,1,0
6,airblaster,AB18WJ1_091,0,1,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black,,,,,1,0
7,airblaster,AB18WJ1_091,0,1,other,gripper elastic,powder skirt,none,black,black,black,black,,,,,1,0
8,airblaster,AB18WJ1_091,1,0,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white,,,,,1,0
9,airblaster,AB18WJ1_091,1,0,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,,,,,1,0
10,airblaster,AB18WJ1_091,0,1,zipper,"ykk no.5 nylon coil zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",c.f.,1,black,camel 161,oxblood 097,mint julep 829,,,,,1,0
11,airblaster,AB18WJ1_091,0,1,zipper,ykk no.5 nylon coil  zipper.  auto-lock puller da8lh1. (zip closes to side seam),(2) hand pockets,2,black,camel 161,oxblood 097,mint julep 829,,,,,1,0
12,airblaster,AB18WJ1_091,0,1,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,camel 161,oxblood 097,mint julep 829,,,,,1,0
13,airblaster,AB18WJ1_091,0,1,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zip closes up)",(1) napoleon pocket,1,black,camel 161,oxblood 097,mint julep 829,,,,,1,0
14,airblaster,AB18WJ1_091,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2)hand pockets(1) napoleon pocket, (1) c.f. (2) vents",6,black,black,black,black,,,,,1,0
15,airblaster,AB18WJ1_091,0,1,velcro,hook and loop; l: 2.5cm x h: 1cm,(8) pocket flaps,8,black,navy t0524,dtm oxblood 19-1331tpx,mint t1216,,,,,1,0
16,airblaster,AB18WJ1_091,0,1,stoppers,round barrel stopper - k-018 , (2) hood,2,black,bone,black,bone,,,,,1,0
17,airblaster,AB18WJ1_091,0,1,webbing,"flat webbing tape, 8mm"," key clip attachment at inside wearer's right pocket, ",1,black,black,black,black,,,,,1,0
18,airblaster,AB18WJ1_091,0,1,hardware,"metal eyelets, 12mm  (incl. washers)","(4) at hood opening,",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,,,,,1,0
19,airblaster,AB18WJ1_091,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","(7) storm flap (1) snap tabs at inside bottom hem,  (2) at powder skirt,(2) cuff",12,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,,,,,1,0
20,airblaster,AB18WJ1_091,0,1,hardware,"snap buttons absnp_01 (male side only), 17mm  (incl. washers)","(2) cuff, (2) powder skirt",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,,,,,1,0
21,airblaster,AB18WJ1_091,0,1, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,bone,black,bone,,,,,1,0
22,airblaster,AB18WJ1_091,0,1,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black,,,,,1,0
23,airblaster,AB18WJ1_091,0,1,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for details",1,gold/black,gold/black,gold/black,bone/ dark green,,,,,1,0
24,airblaster,AB18WJ1_091,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/off white,,,,,1,0
25,airblaster,AB18WJ1_091,0,1,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,,,,,1,0
26,airblaster,AB18WJ1_091,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,black/gold,black/gold,black/off white,,,,,1,0
27,airblaster,AB18WJ1_091,0,1,branding,abem_302 airblaster cursive embroidery,"right chest pocket, see palcement page for detail",1,old gold 724,bone 80003,black,bone 80003,,,,,1,0
28,airblaster,AB18WJ1_091,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
29,airblaster,AB18WJ1_091,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
30,airblaster,AB18WJ1_091,0,1,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,,,,,1,0
31,airblaster,AB18WJ1_091,0,1,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,,,,,1,0
32,airblaster,AB18WJ1_091,0,1,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,,,,,1,0
0,airblaster,AB19MP2_054-170228,1,0,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, back yoke, back pocket flaps",none,tbd,tbd,tbd,tbd,,,,,1,0
1,airblaster,AB19MP2_054-170228,1,0,shell fabric,sotp069-c1-h 100% polyester 15k/10k+2-layer +breathable coating+dwr (supplied by solis),cargo pockets,none,tbd,tbd,tbd,tbd,,,,,1,0
2,airblaster,AB19MP2_054-170228,1,0,lining,210t-e emb07 terry emboss taffeta 100% nylon (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd,,,,,1,0
3,airblaster,AB19MP2_054-170228,1,0,lining, velvety tricot - soto048-1 (supplied by solis),"inside wiastband, inner front pockets, inside fly panel",none,tbd,tbd,tbd,tbd,,,,,1,0
4,airblaster,AB19MP2_054-170228,1,0,other ,100% poly mesh - sotc025-1 (supplied by solis),vents,none,tbd,tbd,tbd,tbd,,,,,1,0
5,airblaster,AB19MP2_054-170228,1,0,other,nylon/elastic lycra - sono029-1 (supplied by solis),inside lower leg gaiters,none,tbd,tbd,tbd,tbd,,,,,1,0
6,airblaster,AB19MP2_054-170228,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,tbd,tbd,tbd,tbd,,,,,1,0
7,airblaster,AB19MP2_054-170228,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close down)",(2) hand pockets pockets ,2,tbd,tbd,tbd,tbd,,,,,1,0
8,airblaster,AB19MP2_054-170228,0,1,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1(zippers close from c.b. to side seam)",(2) back pockets ,2,tbd,tbd,tbd,tbd,,,,,1,0
9,airblaster,AB19MP2_054-170228,0,1,zipper,"ykk no.5 nylon coil zippers,hidden chain, auto-lock slider da8lh1 (zipper close down)", vents,2,tbd,tbd,tbd,tbd,,,,,1,0
10,airblaster,AB19MP2_054-170228,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end ,"(2) vents, (4) pockets,  ",6,tbd,tbd,tbd,tbd,,,,,1,0
11,airblaster,AB19MP2_054-170228,0,1,hardware,jean button17mm  (incl. washers),(1) fly opening,1,tbd,tbd,tbd,tbd,,,,,1,0
12,airblaster,AB19MP2_054-170228,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)"," (4) pocket flaps, (2) bang snaps, (2) back pocket flaps",8,tbd,tbd,tbd,tbd,,,,,1,0
13,airblaster,AB19MP2_054-170228,0,1,hardware,12mm metal eyelet  (incl. washers),(2)waistband (1) left belt loop,3,tbd,tbd,tbd,tbd,,,,,1,0
14,airblaster,AB19MP2_054-170228,0,1,hardware,lace hooks,c.f. of lower leg gaiters at gripper elastic,2,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
15,airblaster,AB19MP2_054-170228,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd,,,,,1,0
16,airblaster,AB19MP2_054-170228,0,1,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,,,,,1,0
17,airblaster,AB19MP2_054-170228,0,1,key clip,plastic key clip attched with webbing loop,inside w. right pocket bag,1,black,black,black,black,,,,,1,0
18,airblaster,AB19MP2_054-170228,0,1,webbing,"flat webbing tape, 8mm",key clip attachment at wearers right inside pocket,1,black,black,black,black,,,,,1,0
19,airblaster,AB19MP2_054-170228,0,1,main label,tbd,"inside c.b. waist, see q/a for detail",1,tbd,tbd,tbd,tbd,,,,,1,0
20,airblaster,AB19MP2_054-170228,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd,,,,,1,0
21,airblaster,AB19MP2_054-170228,0,1,w/c label,satin/printed w/c label (supplied by your side),at inside wearers left 8 cm from waistband seam,1,black,black,black,black,,,,,1,0
22,airblaster,AB19MP2_054-170228,0,1,flag  label,ablt_01 flag label (airpill logo side),left vent 2cm up from bottom of vent,1,tbd,tbd,tbd,tbd,,,,,1,0
23,airblaster,AB19MP2_054-170228,0,1,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd,,,,,1,0
24,airblaster,AB19MP2_054-170228,0,1,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
25,airblaster,AB19MP2_054-170228,0,1,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,,,,,1,0
