index,brand,style,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,material_garment,cutting_materials,fabric,rib,insulation,interfacing,down,zipper,binding,seam tape,webbing,cord,screen print,embroidery,heat transfer,patch,label,thread,velcro,button,ring,buckle,stopper,puller,snap,hook,eyelet,packing,bag,box,desiccant,hangtag,tape,upc,papper,sticker,swift tack,outer,inner
47,scott usa,m defined merino jkt,,fit-ht-gen,,,,,general fit insert,,,,,,,,,daeyong,,1,0.11,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
48,scott usa,m defined merino jkt,,fit-ht-athl,,,,,athletic fit hangtag,,,,,,,,,daeyong,,1,0.055,0.055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
49,scott usa,m defined merino jkt,,duro-ht-uv-2,,,,,duroshade hangtag,,,,,,,,,daeyong,,1,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
50,scott usa,m defined merino jkt,,mapp    ,,,,,mapp hangtag        ,,,,,,,,,mapp,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
51,scott usa,m defined mid pullover,,sck-757s,,,,,"shell fabric at front body, back body, front collar, back collar
facing fabric at rolled hem, rolled collar front and back",moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,singtex,,,4.8,yard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
52,scott usa,m defined mid pullover,,sck-757s,,,,,"shell fabric at sleeves and collar sides, cuffs
facing fabric at rolled cuffs, rolled collar sides",royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,singtex,,,4.8,yard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
53,scott usa,m defined mid pullover,,cfc-39 dsbsos02a (h3),,,,,"#3, closed end, dsbsos02a slider ",royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,ykk,,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
54,scott usa,m defined mid pullover,,"3/4"" foldable lycra",,,,,binding,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,woosung,,,0.244,yard,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
55,scott usa,m defined mid pullover,,normal flatlock,,,,,normal flatlock,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,coats,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
56,scott usa,m defined mid pullover,,normal flatlock,,,,,normal flatlock,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,coats,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
57,scott usa,m defined mid pullover,,dp-634,,,,,direct print (matte quality),18-1449 ketchup,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,taekwang,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
58,scott usa,m defined mid pullover,,sb-dp-804,,,,,direct print (matte quality),moroccan red,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,taekwang,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
59,scott usa,m defined mid pullover,,m-size-20,,,,,m's main interior label           ,,,,,,,,,daeyong,,1,0.045,0.045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
60,scott usa,m defined mid pullover,,8mm grosgrain ribbon    ,,,,,grosgrain ribbon           ,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey,,,woosung  ,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
61,scott usa,m defined mid pullover,,ccl-149,,,,,care content labels,,,,,,,,,daeyong,,1,0.035,0.035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
62,scott usa,m defined mid pullover,,po label,,,,,po label- for bulk only!,white,white,white,white,white,white,,,daeyong ,,1,0.005,0.005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
63,scott usa,m defined mid pullover,,m-ht-lay,,,,,m's layering hangtag         ,,,,,,,,,daeyong,,1,0.22,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
64,scott usa,m defined mid pullover,,hangtag chain,,,,,chain for hangtag,,,,,,,,,daeyong,,1,0.06,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
65,scott usa,m defined mid pullover,,fit-ht-gen,,,,,general fit insert,,,,,,,,,daeyong,,1,0.11,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
66,scott usa,m defined mid pullover,,fit-ht-athl,,,,,athletic fit hangtag,,,,,,,,,daeyong,,1,0.055,0.055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
67,scott usa,m defined mid pullover,,duro-ht-4s-2,,,,,duroxpand hangtag,,,,,,,,,daeyong,,1,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
68,scott usa,m defined mid pullover,,duro-ht-uv-2,,,,,duroshade hangtag,,,,,,,,,daeyong,,1,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,,,,0,0,1,0
69,scott usa,m defined plus jkt,,fe529-a,,,,,"shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap",lunar blue,lunar blue,moroccan red,lake blue,caviar black,,,,premiere,,,,yard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
70,scott usa,m defined plus jkt,,fe529-a,,,,,"shell fabric at front body, back body
facing fabric at rolled hem",marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,premiere,,,,yard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
71,scott usa,m defined plus jkt,,sck-757s,,,,,shell fabric at face mask,marine blue,lunar blue,royal red,nightfall blue,caviar black,,,,singtex,,,4.8,yard,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
72,scott usa,m defined plus jkt,,"tba-use available #5 coil open end, 1 slider for proto",,,,,,use available,use available,use available,use available,use available,,,,ykk,,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
73,scott usa,m defined plus jkt,,tba-use available #3 coil closed end for proto,,,,,,use available,use available,use available,use available,use available,,,,ykk,,2,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
74,scott usa,m defined plus jkt,,tba-use available #3 coil closed end for proto,,,,,,use available,use available,use available,use available,use available,,,,ykk,,1,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
75,scott usa,m defined plus jkt,,142-01951-000013 ,,,,,flexible zipper puller,lunar blue,lunar blue,moroccan red,nightfall blue,caviar black,,,,utx,,4,0.11,0.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,0,,,,0,0,1,0
76,scott usa,m defined plus jkt,,pca224,,,,,cordlock,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.06,0.116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,,,,0,0,1,0
77,scott usa,m defined plus jkt,,10mm grosgrain ribbon,,,,,webbing,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung,,,0.05,yard,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
78,scott usa,m defined plus jkt,,p481s001,,,,,rubber puller ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.02,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,0,,,,0,0,1,0
79,scott usa,m defined plus jkt,,1034213,,,,,custom braid 2.2mm,marine blue,marine blue,moroccan red,nightfall blue,caviar black,,,,chun wo ho,,,0.109,yard,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
80,scott usa,m defined plus jkt,,5mm eyelet,,,,,5mm logo eyelet,antique silver,antique silver,antique silver,antique silver,antique silver,,,,il jin  ,,4,0.03,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,0,,,,0,0,1,0
81,scott usa,m defined plus jkt,,"3/4"" foldable lycra",,,,,binding,marine blue,marine blue,royal red,lake blue,caviar black,,,,woosung,,,0.244,0.244,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
82,scott usa,m defined plus jkt,,gramax thread,,,,,normal flatlock,lunar blue,marine blue,royal red,nightfall blue,caviar black,,,,coats,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
83,scott usa,m defined plus jkt,,gramax thread,,,,,normal flatlock,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,coats,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,,,,0,0,1,0
