,brand,style,item,supplier,fabric,trims,description,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6
334,five 12,w luna therma hoody,tba,please source,0,1,perforated care content label ,left side seam,1,tba,none,white,white,white,white,none,none
335,five 12,w skaha training short,sck-464 ice café .,singtex,1,0,,"shell fabric at waistband and interior waistband, back pocket bag",none,tba    ,none,orange,ebony,neon lime,ocean,none,none
336,five 12,w skaha training short,sw-8337 s café,singtex,1,0,,shell fabric and front and back legs,none,tba    ,none,navy,black,ocean,ebony,none,none
337,five 12,w skaha training short,sw-8337 s café,singtex,1,0,,self fabric binding on hem and side seams,none,tba    ,none,navy,black,ocean,ocean,none,none
338,five 12,w skaha training short,contrast stitching,coats,0,1,3 rows of single needle,below waistband,none,none,none,orange,neon lime,neon lime,ocean,none,none
339,five 12,w skaha training short,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider",back pocket zipper,1,none,0,navy,neon lime,ocean,neon lime,none,none
340,five 12,w skaha training short,please source,tba,0,1,lace,interior waistband,none,none,none,navy,ocean,ocean,neon lime,none,none
341,five 12,w skaha training short,ht-04,tba,0,1,heat transfer,front left waistband       ,1,tba    ,none,18-1561,black,deep lime,deep ocean,none,none
342,five 12,w skaha training short,ht-14,tba,0,1,reflective heat transfer,back waistband center,1,tba    ,none,reflective grey,reflective grey,reflective grey,reflective grey,none,none
343,five 12,w skaha training short,five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb waistband   ,1,tba    ,none,x,x,x,x,none,none
344,five 12,w skaha training short,tba    ,please source,0,1,perforated care content label ,left waistband seam  ,1,tba    ,none,white,white,white,white,none,none
345,five 12,w tofino hoody ,sw -8337 s cafe,singtex,1,0,,"shell fabric at hood, front and back body, sleeves, hand pocket bags",none,tba,none,ocean,black,navy,ebony,none,none
346,five 12,w tofino hoody ,sw -8337 s cafe,singtex,1,0,,shell fabric at underarms,none,tba,none,ocean,ebony,navy,ebony,none,none
347,five 12,w tofino hoody ,sck-464 ice café,singtex,1,0,,fabric at internal hood face sheild,none,tba,none,ocean,ebony,ocean,ocean,none,none
348,five 12,w tofino hoody ,sck-464 ice café,singtex,1,0,,self fabric binding at edge of face sheild,none,tba,none,ocean,ebony,ocean,ocean,none,none
349,five 12,w tofino hoody ,cifor-39 dsbyg (h3),ykk,0,1,"#3 coil, open end, right insert, dsbyg slider ",cf zipper,1,none,0,ocean,black,navy,ocean,none,none
350,five 12,w tofino hoody ,cfc-39 dsbyg (h3),ykk,0,1,"#3 coil, closed end, dsbyg slider",hand pocket zippers,2,none,0,ocean,neon lime,ocean,ocean,none,none
351,five 12,w tofino hoody ,please source,tba,0,1,"1/4"" elastic","cuffs, hem, cb hood, sides of hood",none,tba,yard,stock white,stock white,stock white,stock white,none,none
352,five 12,w tofino hoody ,ht-01,tba,0,1,heat transfer,bottom left under hand pocket,1,tba,none,ebony,reflective silver,ocean,ocean,none,none
353,five 12,w tofino hoody ,ht-02,tba,0,1,reflective heat transfer,back bottom center,1,tba,none,reflective silver,reflective silver,reflective silver,reflective silver,none,none
354,five 12,w tofino hoody ,ht-14,tba,0,1,reflective heat transfer,right bicep,none,none,none,reflective silver,reflective silver,reflective silver,reflective silver,none,none
355,five 12,w tofino hoody ,five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb neck          ,1,tba,none,x,x,x,x,none,none
356,five 12,w tofino hoody ,self fabric locker loop,singtex,0,1,self fabric locker loop use shell #1,locker loop,1,tba,0,ocean,black,navy,ebony,none,none
357,five 12,w tofino hoody ,tba,please source,0,1,perforated care content label ,left side seam,1,tba,none,white,white,white,white,none,none
358,five 12,"w xcell 3"" spandex short",sck-2265 ice café,singtex,1,0,,"shell fabric on full body, legs and gusset",none,tba,none,navy,ocean,red,ebony,black,none
359,five 12,"w xcell 3"" spandex short",tonal flatlock stitching,ns thread,0,1,ns thread  ,"rise, gusset/inseam, rolled, hem",none,none,none,navy,ocean,neon lime,ebony,black,none
360,five 12,"w xcell 3"" spandex short",five12-elastic-01,please source    ,0,1,"logo elastic 1.5""",waistband,none,tba,none,orange,neon lime,ocean,ocean,ebony,none
361,five 12,"w xcell 3"" spandex short",five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb waistband   ,1,none,0,x,x,x,x,x,none
362,five 12,"w xcell 3"" spandex short",tba,please source,0,1,perforated care content label ,left waistband seam  ,1,none,0,white,white,white,white,white,none
363,five 12,w xcell long sleeve,sck-464 ice café,singtex,1,0,,"shell fabric at front and back body, sleeves, collar, interior collar, rolled hem and cuffs",none,tba,none,orange,neon lime,ocean,black,navy,none
364,five 12,w xcell long sleeve,contrast coverstitching,ns thread,0,1,ns thread,"armholes, side seams, back seams",none,none,none,orange,neon lime,ocean,black,ocean,none
365,five 12,w xcell long sleeve,ht-14,tba,0,1,reflectice heat transfer,upper cb centered,1,tba,none,reflective silver,reflective silver,reflective silver,reflective silver,reflective silver,none
366,five 12,w xcell long sleeve,five12-w-int-ht-l,tba,0,1,main interior heat transfer label,interior cb neck          ,1,tba,none,x,x,x,x,x,none
367,five 12,w xcell long sleeve,tba,please source,0,1,perforated care content label ,left side seam,1,tba,none,white,white,white,white,white,none
368,blair,hyak hoody,340gms 80% cotton/20% polyester sweatshirt fabric,none,1,0,,"shell fabric at hood, front body, back body, sleeves, pocket
facing fabric at rolled facing at pocket edge",none,none,none,use available color for proto,none,none,none,none,none
369,blair,hyak hoody,80% cotton/20% polyester rib knit sweatshirt fabric,none,1,0,,"shell fabric at collar, cuffs, hem",none,none,none,use available color for proto,none,none,none,none,none
370,blair,hyak hoody,340gms 80% cotton/20% polyester sweatshirt fabric,none,0,1,lining,interior hood,none,none,none,use available color for proto,none,none,none,none,none
371,blair,hyak hoody,please source,none,0,1,herringbone cotton webbing/tape,interior back neckseam,none,none,0,use available for proto,none,none,none,none,none
372,blair,hyak hoody,please source,none,0,1,"0.5"" flat drawcord (end is folded and stitched, no tips)",front hood adjustment,none,none,0,use available for proto,none,none,none,none,none
373,blair,hyak hoody,please source,none,0,1,"metal eyelet (opening is 0.375"")",front hood adjustment drawcord exit,2,none,0,antique silver,none,none,none,none,none
374,blair,hyak hoody,please source,none,0,1,interior main label,interior back neck,none,none,none,use available for proto,none,none,none,none,none
375,blair,hyak hoody,please source,none,0,1,care label,interior left side seam,none,none,none,use available for proto,none,none,none,none,none
376,blair,hyak hoody,please source,none,0,1,main hangtag,tag pin inserted throught left underarm seam,none,none,none,use available for proto,none,none,none,none,none
377,blair,hyak crew sweatshirt,340gms 80% cotton/20% polyester sweatshirt fabric,none,1,0,,"shell fabric at front body, back body, sleeves ",none,none,none,use available color for proto,none,none,none,none,none
378,blair,hyak crew sweatshirt,80% cotton/20% polyester rib knit sweatshirt fabric,none,1,0,,"shell fabric at collar, cuffs, hem ",none,none,none,use available color for proto,none,none,none,none,none
379,blair,hyak crew sweatshirt,please source,none,0,1,herringbone cotton webbing/tape,interior back neckseam,none,none,0,use available for proto,none,none,none,none,none
380,blair,hyak crew sweatshirt,please source,none,0,1,interior main label,interior back neck,none,none,none,use available for proto,none,none,none,none,none
381,blair,hyak crew sweatshirt,please source,none,0,1,care label,interior left side seam,none,none,none,use available for proto,none,none,none,none,none
382,blair,hyak crew sweatshirt,please source,none,0,1,main hangtag,tag pin inserted throught left underarm seam,none,none,none,use available for proto,none,none,none,none,none
383,blair,hyak full zip hoody,340gms 80% cotton/20% polyester sweatshirt fabric,none,1,0,,"shell fabric at hood, front body, back body, sleeves, pockets
facing fabric at cf interior facing, rolled facing at pocket edge",none,none,none,use available color for proto,none,none,none,none,none
384,blair,hyak full zip hoody,80% cotton/20% polyester rib knit sweatshirt fabric,none,1,0,,"shell fabric at collar, cuffs, hem",none,none,none,use available color for proto,none,none,none,none,none
385,blair,hyak full zip hoody,340gms 80% cotton/20% polyester sweatshirt fabric,none,0,1,lining,interior hood,none,none,none,use available color for proto,none,none,none,none,none
386,blair,hyak full zip hoody,vsol-56 da8lh1 (e),ykk,0,1,"#5 vislon, open end left insert, da8lh1",cf zipper,1,none,0,use available for proto,none,none,none,none,none
387,blair,hyak full zip hoody,please source,none,0,1,herringbone cotton webbing/tape,interior back neckseam,none,none,0,use available for proto,none,none,none,none,none
388,blair,hyak full zip hoody,please source,none,0,1,"0.5"" flat drawcord (end is folded and stitched, no tips)",front hood adjustment,none,none,0,use available for proto,none,none,none,none,none
389,blair,hyak full zip hoody,please source,none,0,1,"metal eyelet (opening is 0.375"")",front hood adjustment drawcord exit,2,none,0,antique silver,none,none,none,none,none
390,blair,hyak full zip hoody,please source,none,0,1,interior main label,interior back neck,none,none,none,use available for proto,none,none,none,none,none
391,blair,hyak full zip hoody,please source,none,0,1,care label,interior left side seam,none,none,none,use available for proto,none,none,none,none,none
392,blair,hyak full zip hoody,please source,none,0,1,main hangtag,tag pin inserted throught left underarm seam,none,none,none,use available for proto,none,none,none,none,none
