index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
9025,address label,,,,,lining left side seam,,address label,address label,address label,,,,,,factory sourced,1,,,L1,L1-105-18_AFTERSHOCK_4-07-17_TRIMS,0,1,0,1,0
9026,content label,,,,,lining left side seam,,content label,content label,content label,,,,,,factory sourced,1,,,L1,L1-105-18_AFTERSHOCK_4-07-17_TRIMS,0,1,0,1,0
9027,washing label,,,,,lining left side seam,,washing label,washing label,washing label,,,,,,factory sourced,1,,,L1,L1-105-18_AFTERSHOCK_4-07-17_TRIMS,0,1,0,1,0
9028, oxford,,100% polyestr,,,all shell is same fabric,,black,,,,,,,,solis l2-581,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9029,item,,content,,,insulation,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9030,,,,,,shell,,shell,,,,,,,,,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9031,item,,content,,,seam tape,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9032,width...seam tape,,,,,fully taped,,fully taped,,,,,,,,sealon,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9033,item,,content,,,lining,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9034,solid 210t,,100% nylon,,,main body,,black,,,,,,,,please sorce,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9035,coated 210t,,100% nylon,,,lower leg & gaiter,,black,,,,,,,,please sorce,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9036,120g brushed tricot,,100% poly,,,waistband & fly,,black,,,,,,,,please sorce,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9037,120g brushed tricot,,100% poly,,,hand pocket lining,,black,,,,,,,,please sorce,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9038,solid 210t,,100% nylon,,,cargo and back pocket top hand lining,,black,,,,,,,,please sorce,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9039,mesh,,100% poly,,,"""balls out"" venting",,black,,,,,,,,please sorce,,,,L1,L1-204-17_REGULAR_FIT_CARGO_PANT_SHELL,1,0,0,1,0
9040, #5 vislon zipper,,,,,center front,,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-1718 tcx port,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-0515 tcx military,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 12-0105 tcx bone,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,,,,ykk / 2-way semi auto locking with 2 l1 custom pulls,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,1,1,0
9041, #5 metal zipper,,,,,chest pocket vertical,,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,,,,non ykk / 1-way dadhr die cast wire non locking,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,1,1,0
9042, #5 coil zipper,,,,,underarm vents,,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,,,,non ykk / 1-way dadhr die cast wire non locking,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,1,1,0
9043, #5 metal zipper,,,,,hand pockets vertical,,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-1718 tcx port,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-0515 tcx military,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 12-0105 tcx bone,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,silder/ pull color: ykk rl bright copper/ zipper tape and teeth color: 19-4006 tcx black,,,,non ykk / 1-way dadhr die cast wire non locking,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,1,1,0
9044, #5 coil zipper,,,,,lining pocket vertical,,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,,,,non ykk / 1-way dadhr die cast wire non locking,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,1,1,0
9045,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",,,,,center front,,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,,,,ykk,top and bottom pull = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9046,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,,,,,chest pocket vertical,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,please source: same supplier as other faux leather trims,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9047,11nt-045 / self fabric pull,,,,,underarm vents,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,,factory made,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9048,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,,,,,hand pockets vertical,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,please source: same supplier as other faux leather trims,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9049,11nt-045 / self fabric pull,,,,,lining pocket vertical,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,,factory made,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9050,branded trims,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9051,"l1-2018-trim-009 / 
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",,,,,center front placket,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luks,4,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9052,"l1-2018-trim-009 / 
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",,,,,hand pockets,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luks,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9053,"l1-2018-trim-003/ 
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",,,,,front right hem,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,please source,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9054,"l1-2018-trim-004
brown faux leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",,,,,front right hand pocket flap,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,please source,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9055,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",,,,,left sleeve hem,,matching,matching,matching,matching,matching,,,,soluna,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9056,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",,,,,back right,,matching,matching,matching,matching,matching,,,,soluna,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9057,trims,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9058,15mm metal snap ,,,,,powder skirt - front closure,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luk's / 404,"2 female, 4 male",,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9059,15mm metal snap ,,,,,snap away powder skirt - lining facing ,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luk's / 404,1 male 1 female,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9060,15mm metal snap ,,,,,powder skirt - jacket to pant connection,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luk's / 404,3 sets,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9061,metal eyelets 8mm ,,,,,hood cord exit front,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luk's / et04,2 per side = 4 ,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9062,metal eyelets 8mm ,,,,,hem adjust,,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,,,,luk's / et04,2 per side = 4 ,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9063,cord lock: small cord lock with tie down,,,,,front hood adjust,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,,sun sun/ sv160824-2a,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9064,cord lock,,,,,hem adjust,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,,sv160819-4a,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9065,bead,,,,,hem adjust,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,,sv160725-1a,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9066,keyclip,,,,,right hand pocket,,black,black,black,black,black,,,,as production ,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9067,notions,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9068,"grosgrain 1/4""",,,,,attach front hood cord lock,,black,black,black,black,black,,,,,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9069,"grosgrain 3/8""",,,,,attach hem cord lock,,black,black,black,black,black,,,,,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9070,"grosgrain 1/4""",,,,,attach keyclip right hand pocket ,,19-1718 tcx port,19-0515 tcx military,12-0105 tcx bone, 19-4006 tcx black, 19-4006 tcx black,,,,,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9071,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",,,,,powder skirt - side tabs jacket to pant connection ,,black,black,black,black,black,,,,,2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9072,"shell fabric tab  1"" x 1"" wrap around ",,,,,jacket to pant connection center back on tab,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,,,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9073,"shell fabric tab  1"" x 1"" wrap around ",,,,,jacket to pant connection center back under snap on gripper elastic,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,,,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9074,"shell fabric tab 3/4"" x  1"" ",,,,,jacket to pant connection at side tabs under snaps,,port shell fabric,military shell fabric,bone shell fabric,black shell fabric,vintage camo broken twill shell fabric,,,,,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9075,"elastic 1"" x 4""",,,,,powder skirt middle tab - jacket to pant connection ,,black,black,black,black,black,,,,,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9076,elastic ,,,,,back of sleeve cuffs,,available,available,available,available,available,,,,,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9077,elastine binding,,,,,goggle pocket binding,,black,black,black,black,black,,,,,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9078,"elastic 1/4"" ",,,,,lining cable guide,,black,black,black,black,black,,,,,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9079,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,,,,,hood & hem,,"colorway: 7 =19-1718 tcx port/
18-1703 tcx smoke","colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 3
12-0105 tcx bone/
16-5807 tcx silt","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal",,,,"example: cw15-065
chun wo ho (please source)",1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9080,gripper elastic 25mm non logo,,,,,powder skirt hem,,black,black,black,black,black,,,,mtt0022,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9081,velcro,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9082,"1/2"" x 1 1/2"" velcro with rounded corners",,,,,chin,,match to shell,match to shell,match to shell,match to shell,black,,,,paiho / loop#1057 / hooketn7,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9083," 1/2"" x 2 velcro with rounded corners",,,,,center front placket,,match to shell,match to shell,match to shell,match to shell,black,,,,paiho / loop#1057 / hooketn7,4,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9084,"3/4"" x 3 3/4"" velcro with rounded corners",,,,,cuff on body,,match to shell,match to shell,match to shell,match to shell,black,,,,paiho / loop#1057,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9085,"3/4"" x 2 1/2"" velcro with rounded corners",,,,,cuff on tab,,match to shell,match to shell,match to shell,match to shell,black,,,,paiho / hooketn7,1 per side = 2,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9086,thread,,,,,supplier/ ref number,,port,military,bone/floral print,black,vintage camo broken twill,,,,spi,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9087,seams,,,,,1930/2/1 0:00,,match to shell,match to shell,match to shell,match to shell,match to shell,,,,10-12 spi,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9088,topstitch,,,,,heavy weight topstitch,,match to shell,match to shell,match to shell,match to shell,match to shell,,,,8-10 spi,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9089,bartacks,,,,,100/2,,match to shell,match to shell,match to shell,match to shell,match to shell,,,,,,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9090,labels ,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9091,10k/10k critically seam sealed,,,,,center back below neck seam,,10k/10k critically seam sealed,,,,,,,,soluna/ main label,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9092,size label (sample size s),,,,,center back below main label,,"xs, s, m, l",,,,,,,,soluna/ size label,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9093,hang tags,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9094,womens jacket hang tag,,,,,left side hand pocket zipper,,womens jacket hang tag,,,,,,,,soluna/ womens jacket hang tag,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9095,care and content labels,,,,,location,,port,military,bone/floral print,black,vintage camo broken twill,,,,supplier/ reference number,amount,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9096,address label,,,,,lining left side seam,,address label,,,,,,,,factory sourced,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9097,content label,,,,,lining left side seam,,content label,,,,,,,,factory sourced,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9098,washing label,,,,,lining left side seam,,washing label,,,,,,,,factory sourced,1,,,L1,L1TA-104-18_ANWEN_04-12-17_TRIMS,0,1,0,1,0
9099,"new stretch twill 10k/10k laminate c6 dwr, $4.28",,100% polyester,,,all shell is same fabric,,black,,,,,,,,raco 950703-b,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9100,item,,content,,,insulation,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9101,,,,,,non insulated,,no,,,,,,,,,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9102,item,,content,,,seam tape,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9103,width...seam tape,,,,,critically taped,,yes,,,,,,,,sealon,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9104,item,,content,,,lining,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9105,small hole mesh ,,100% poly,,,main body,,black,,,,,,,,please sorce,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9106,coated 210t,,100% nylon,,,lower leg,,black,,,,,,,,please sorce,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9107,120g brushed tricot,,100% poly,,,waistband & fly,,black,,,,,,,,please sorce,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9108,120g brushed tricot,,100% poly,,,hand pocket lining,,black,,,,,,,,please sorce,,,,L1,L1TA_205_17_HEARTBREAKER_TWILL_PANT_SHELL,1,0,0,1,0
9109,oxford,,100% polyester,,,a,,silt,ink,military,black,,,,,"solis/  oxford l2-581 ,10k/10k, c6 +dwr",,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9110,broken twill,,100% polyester,,,b,,silt,ink,military,black,,,,,"solis/  wl248 broken twill, 10k/10k, c6 +dwr",,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9111,insulation,,content,,,location ,,silt,ink,military,black,,,,,supplier/ reference number,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9112,polyfill insulation ,,100% polyester,,,all over,,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,pinneco mantle 40g,,,,,pinneco mantle 40g,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9113,seam tape,,content,,,location ,,silt,ink,military,black,,,,,supplier/ reference number,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9114,seam tape,,,,,critically seam taped,,critically seam taped,critically seam taped,critically seam taped,critically seam taped,,,,,tsgs ,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9115,lining,,content,,,location ,,silt,ink,military,black,,,,,supplier/ reference number,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9116,printed satin,,100% polyester,,,hood,,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,,,,,solis/ pr258 womens print,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9117,solid 210t ,,100% nylon,,,main body,,black,black,black,black,,,,,solis/ sonp006-1 ,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9118,solid 210t ,,100% nylon,,,sleeves,,black,black,black,black,,,,,solis/ sonp006-1 ,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9119,solid 210t ,,100% nylon,,,secondary pocket bags,,black,black,black,black,,,,,solis/ sonp006-1 ,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9120,solid coated 210t,,100% nylon,,,lower body & powder skirt,,black,black,black,black,,,,,solis / sonp006-pu03,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9121,brushed tricot,,100% polyester,,,hand pocket bags,,black,black,black,black,,,,,supplier / ref code,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9122,brushed tricot,,100% polyester,,,chin guard,,black,black,black,black,,,,,supplier / ref code,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9123,stretch lycra,,content,,,sleeve gaiters,,black,black,black,black,,,,,supplier / ref code,,,,L1,L1TA-105-18_PROWLER_04-04-17_SHELL,1,0,0,1,0
9124,pa10004 $3.00 flat face,,,,,all shell is same fabric,,black,,,,,,,,raco pa10004,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9125,item,,content,,,insulation,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9126,,,,,,shell,,no,,,,,,,,,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9127,item,,content,,,seam tape,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9128,width...seam tape,,,,,critically taped,,yes,,,,,,,,sealon,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9129,item,,content,,,lining,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,,,supplier/ ref number,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9130,small hole mesh ,,100% nylon,,,main body,,black,,,,,,,,please sorce,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9131,coated 210t,,100% nylon,,,lower leg & gaiter,,black,,,,,,,,please sorce,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9132,120g brushed tricot,,100% poly,,,waistband & fly,,black,,,,,,,,please sorce,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9133,120g brushed tricot,,100% poly,,,hand pocket lining,,black,,,,,,,,please sorce,,,,L1,L1-207-17_SLIM_BASIC_PANT_SHELL,1,0,0,1,0
9134,oxford,,,,,a,,black,soil,bone ,ink,,,,,solis / l2-581 / 10k/10k c6 + dwr,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9135,broken twill,,,,,a,,,,,,vintage camo broken twill,,,,solis/ wl248 broken twill,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9136,leather,,100% leather,,,back right belt loop,,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,,,,suppler? can you source same quality as other faux  leather trims,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9137,insulation,,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,,supplier/ reference number,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9138,polyfill insulation ,,100% polyester,,,knees and seat,,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,,,,pinneco mantle 40g ,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9139,seam tape,,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,,supplier/ reference number,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9140,seam tape,,,,,fully taped,,fully taped,fully taped,fully taped,fully taped,fully taped,,,,tsgs ,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9141,lining,,content,,,location ,,black,soil,bone ,ink,vintage camo broken twill,,,,supplier/ reference number,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9142,solid 210t ,,100% nylon,,,main body,,black,black,black,black,black,,,,solis / sonp006-1,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9143,solid 210t ,,100% nylon,,,knees and seat,,black,black,black,black,black,,,,solis / sonp006-1,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9144,solid 210t ,,100% nylon,,,secondary pocket bags,,black,black,black,black,black,,,,solis / sonp006-1,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
9145,solid coated 210t,,100% polyester,,,lower leg & gaiter,,black,black,black,black,black,,,,solis / sonp006-pu03,,,,L1,L1-203-18_AMERICANA_03-30-17_SHELL,1,0,0,1,0
