index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
57,dp-634,direct print (matte quality),,,,upper left chest,18-1449 ketchup,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,taekwang,,1,,0,scott usa,m defined mid pullover,0,1,0,1,0
58,sb-dp-804,direct print (matte quality),,,,right bicep,moroccan red,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,taekwang,,1,,0,scott usa,m defined mid pullover,0,1,0,1,0
59,m-size-20,m's main interior label           ,,,,cb neckseam      ,,,,,,,,,daeyong,,1,0.045,0.045,scott usa,m defined mid pullover,0,1,0,1,0
60,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey,,,woosung  ,,1,0,0,scott usa,m defined mid pullover,0,1,0,1,0
61,ccl-149,care content labels,,,,left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m defined mid pullover,0,1,0,1,0
62,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,white,white,,,daeyong ,,1,0.005,0.005,scott usa,m defined mid pullover,0,1,0,1,0
63,m-ht-lay,m's layering hangtag         ,,,,left side       ,,,,,,,,,daeyong,,1,0.22,0.22,scott usa,m defined mid pullover,0,1,0,1,0
64,hangtag chain,chain for hangtag,,,,left side       ,,,,,,,,,daeyong,,1,0.06,0.06,scott usa,m defined mid pullover,0,1,0,1,0
65,fit-ht-gen,general fit insert,,,,insert,,,,,,,,,daeyong,,1,0.11,0.11,scott usa,m defined mid pullover,0,1,0,1,0
66,fit-ht-athl,athletic fit hangtag,,,,top of hang tag,,,,,,,,,daeyong,,1,0.055,0.055,scott usa,m defined mid pullover,0,1,0,1,0
67,duro-ht-4s-2,duroxpand hangtag,,,,insert,,,,,,,,,daeyong,,1,0.1,0.1,scott usa,m defined mid pullover,0,1,0,1,0
68,duro-ht-uv-2,duroshade hangtag,,,,insert,,,,,,,,,daeyong,,1,0.1,0.1,scott usa,m defined mid pullover,0,1,0,1,0
