,Style,label,material/trim,description,location,qty,black,heather gray,oxblood,sea pine,tbd,tbd.1,tbd.2,tbd.3,tbd.4,tbd.5,duffel,rust,butter,khaki,kombu green,dark navy,moose,pizza,mens fish,olive night,camel,pineneedle,sterilng blue,rose smoke,vintage black,dinoflage,forest,dk khaki,greyskull,wood duck critterflage,evergreen,flame,day jungle,navy,mint julep,dark olive,puddle,bone,black spruce,stone critterflage,gold,black wax,camel wax,soviet grey wax,willow,dirks critterflage,vintage blue wax,see see collab,vintage blue,red dawn,night jungle,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none
25,AB19WJ3_020_BOM-170419.csv,rr,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main label,tbd,"inside c.b. neck, see q/a for placement",1
26,AB19WJ3_020_BOM-170419.csv,ss,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,size label,tbd,sewn in and centered below main label,1
27,AB19WJ3_020_BOM-170419.csv,tt,,,,,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1
28,AB19WJ3_020_BOM-170419.csv,uu,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1
29,AB19WJ3_020_BOM-170419.csv,vv,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flag  label,ablt_01 flag label (air logo side),left vent 2cm from bottom of vent,1
30,AB19WJ3_020_BOM-170419.csv,ww,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,branding,tbd,tbd,none
31,AB19WJ3_020_BOM-170419.csv,xx,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,branding,tbd,tbd,none
32,AB19WJ3_020_BOM-170419.csv,yy,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hangtag,tbd,tbd,1
33,AB19WJ3_020_BOM-170419.csv,zz,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hangtag,tbd,tbd,1
34,AB19WJ3_020_BOM-170419.csv,aaa,,,,,,,,,clear,clear,clear,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1
35,AB19WJ3_020_BOM-170419.csv,bbb,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1
36,AB19WJ3_020_BOM-170419.csv,ccc,,,,,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1
0,AB18MJ1_084_BOM.csv,a,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"main body, sleeves. hood",none,black,,,,,,,,,,duffel,rust,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB18MJ1_084_BOM.csv,b,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",none,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB18MJ1_084_BOM.csv,c,other , velvety tricot - soto048-p (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",none,modern athlete,,,,,,,,,,modern athlete,modern athlete,modern athlete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB18MJ1_084_BOM.csv,d,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB18MJ1_084_BOM.csv,e,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,none,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB18MJ1_084_BOM.csv,f,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB18MJ1_084_BOM.csv,g,other,lycra binding tape,internal mesh pocket opening,none,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB18MJ1_084_BOM.csv,h,other,60gm insulation,"main body, hood and sleeves",none,white,,,,,,,,,,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB18MJ1_084_BOM.csv,i,other,gripper elastic,powder skirt,none,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB18MJ1_084_BOM.csv,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,,,,,,,,,,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB18MJ1_084_BOM.csv,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,,,,,,,,,,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB18MJ1_084_BOM.csv,aa,zipper,"ykk no.5 2-way coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,,,,,,,,,,duffel 237,rust 236,butter 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB18MJ1_084_BOM.csv,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,black,,,,,,,,,,duffel 237,rust 236,butter 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB18MJ1_084_BOM.csv,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,black,,,,,,,,,,duffel 237,rust 236,butter 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB18MJ1_084_BOM.csv,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,black,,,,,,,,,,duffel 237,rust 236,butter 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB18MJ1_084_BOM.csv,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"cf, (2) hand pockets, (1) internal pocket, (2) vents",6,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB18MJ1_084_BOM.csv,ff,stoppers,barrel stopper k-018,2) hood,2,black,,,,,,,,,,dark olive,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB18MJ1_084_BOM.csv,gg,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB18MJ1_084_BOM.csv,hh,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening, ",4,pewter bi-10,,,,,,,,,,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB18MJ1_084_BOM.csv,ii,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) pockets, (1) snap tabs at inside bottom hem,  (2) at powder skirt, (2) cuff tab, (1) back vent",14,pewter bi-10,,,,,,,,,,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB18MJ1_084_BOM.csv,jj,hardware,male snap only (incl. washers),"(2) powder skirt, (2)cuffs",4,pewter bi-10,,,,,,,,,,dark anti brass bi-18,dark anti brass bi-18,pewter bi-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB18MJ1_084_BOM.csv,kk,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,,,,,,,,,,dark olive,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB18MJ1_084_BOM.csv,ll,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB18MJ1_084_BOM.csv,mm,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB18MJ1_084_BOM.csv,nn,main label,abwv_67 freedom main label,"inside c.b. neck, centered below abwv_110",1,olive/black,,,,,,,,,,olive/black,olive/black,olive/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AB18MJ1_084_BOM.csv,oo,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,olive/black,,,,,,,,,,olive/black,olive/black,olive/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AB18MJ1_084_BOM.csv,pp,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,,,,,,,,,,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AB18MJ1_084_BOM.csv,qq,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,olive/black,,,,,,,,,,olive/black,olive/black,olive/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AB18MJ1_084_BOM.csv,rr,branding,abpa_105b corey patch,"left chest, see palcement page for detail",1,bone/black/ black velcro,,,,,,,,,,bone/black/ olive velcro,bone/black/ rust velcro,bone/black/ gold velcro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AB18MJ1_084_BOM.csv,ss,branding,abwv_110 modern athlete woven label,centered 3cm below abwv_67,1,black/ off white/ olive,,,,,,,,,,black/ off white/ olive,black/ off white/ olive,black/ off white/ olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AB18MJ1_084_BOM.csv,tt,hangtag,tbd,tbd,1,tbd,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AB18MJ1_084_BOM.csv,uu,hangtag,tbd,tbd,1,tbd,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AB18MJ1_084_BOM.csv,vv,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,,,,,,,,,,clear,clear,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AB18MJ1_084_BOM.csv,ww,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AB18MJ1_084_BOM.csv,xx,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,,,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB19MP4_037_BOM-170215.csv,a,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB19MP4_037_BOM-170215.csv,b,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB19MP4_037_BOM-170215.csv,c,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB19MP4_037_BOM-170215.csv,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB19MP4_037_BOM-170215.csv,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB19MP4_037_BOM-170215.csv,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB19MP4_037_BOM-170215.csv,cc,zipper,"ykk no.3 nylon reverse coil, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB19MP4_037_BOM-170215.csv,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB19MP4_037_BOM-170215.csv,ee,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB19MP4_037_BOM-170215.csv,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB19MP4_037_BOM-170215.csv,gg,hardware,12mm metal eyelet  (incl. washers),front waistband 10cm each side of center front (2),2,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB19MP4_037_BOM-170215.csv,hh,hardware,abel_01 (incl. washers),left belt loop (1),1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB19MP4_037_BOM-170215.csv,ii,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,,,,,black oxidized,black oxidized,black oxidized,black oxidized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB19MP4_037_BOM-170215.csv,jj,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB19MP4_037_BOM-170215.csv,kk,elastic,gripper elastic,at inside lower leg gators,2,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB19MP4_037_BOM-170215.csv,ll,main label,tbd,"inside c.b. waist, see q/a for detail",1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB19MP4_037_BOM-170215.csv,mm,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB19MP4_037_BOM-170215.csv,nn,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB19MP4_037_BOM-170215.csv,oo,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB19MP4_037_BOM-170215.csv,pp,branding,tbd,"hammer pocket, see placement page for detail",1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB19MP4_037_BOM-170215.csv,qq,hangtag,tbd,tbd,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB19MP4_037_BOM-170215.csv,rr,hangtag,tbd,tbd,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB19MP4_037_BOM-170215.csv,ss,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB19MP4_037_BOM-170215.csv,tt,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,,,,,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB19MP4_037_BOM-170215.csv,uu,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,,,,,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB18MJ1_032_ BOM.csv,a,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,black,,,,,,,,,,,,,,,dark navy,,,,,,,,,vintage black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB18MJ1_032_ BOM.csv,b,shell fabric,sotd109-pr01-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,,,,,,,,,,,,,,,,,,,,,,,,,,dinoflage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB18MJ1_032_ BOM.csv,c,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),"sleeves, hood",none,oxblood,,,,,,,,,,,,,,,camel,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB18MJ1_032_ BOM.csv,d,lining,210t-e emb07 tery emboss  taffeta(supplied by ecoya),"inside lining, powder skirt, pocket bag",none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB18MJ1_032_ BOM.csv,e,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB18MJ1_032_ BOM.csv,f,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB18MJ1_032_ BOM.csv,g,other,nylon/elastic lycra - sono029-1 (supplied by solis),powder skirt,none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB18MJ1_032_ BOM.csv,h,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB18MJ1_032_ BOM.csv,i,other,lycra binding tape,internal mesh pocket opening,none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB18MJ1_032_ BOM.csv,j,other,gripper elastic,powder skirt,none,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB18MJ1_032_ BOM.csv,l,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,,,,,,,,,,,,,,,white,,,,,,,,,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB18MJ1_032_ BOM.csv,m,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,,,,,,,,,,,,,,,white,,,,,,,,,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AB18MJ1_032_ BOM.csv,aa,zipper,"ykk no.8 vislon 2 way  zipper.  auto-lock slider da8lh, silders bottom to bottom   (right hand pull left hand insert)",c.f.,1,oxblood 097,,,,,,,,,,,,,,,camel 161,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AB18MJ1_032_ BOM.csv,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,oxblood 097,,,,,,,,,,,,,,,camel 161,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AB18MJ1_032_ BOM.csv,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,oxblood 097,,,,,,,,,,,,,,,camel 161,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AB18MJ1_032_ BOM.csv,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,oxblood 097,,,,,,,,,,,,,,,camel 161,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AB18MJ1_032_ BOM.csv,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AB18MJ1_032_ BOM.csv,ff,stoppers,round barrel stopper - k-018 , (2) hood,2,black,,,,,,,,,,,,,,,black,,,,,,,,,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB18MJ1_032_ BOM.csv,gg,stoppers,k343-2n push stoppers,(2) bottom hem,2,black,,,,,,,,,,,,,,,black,,,,,,,,,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB18MJ1_032_ BOM.csv,hh,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,black,,,,,,,,,,,,,,,black,,,,,,,,,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB18MJ1_032_ BOM.csv,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB18MJ1_032_ BOM.csv,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB18MJ1_032_ BOM.csv,kk,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,matte black bi-48,,,,,,,,,,,,,,,matte black bi-48,,,,,,,,,matte black bi-48,matte black bi-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB18MJ1_032_ BOM.csv,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (1) snap tabs at inside bottom hem,  (2) at powder skirt",3,matte black bi-48,,,,,,,,,,,,,,,matte black bi-48,,,,,,,,,matte black bi-48,matte black bi-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB18MJ1_032_ BOM.csv,mm,hardware,male snap only (incl. washers),(2) powder skirt,2,matte black bi-48,,,,,,,,,,,,,,,matte black bi-48,,,,,,,,,matte black bi-48,matte black bi-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AB18MJ1_032_ BOM.csv,nn, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood opening,1,black,,,,,,,,,,,,,,,black,,,,,,,,,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AB18MJ1_032_ BOM.csv,oo,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,black,,,,,,,,,,,,,,,black,,,,,,,,,black,dark olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AB18MJ1_032_ BOM.csv,pp,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AB18MJ1_032_ BOM.csv,qq,main label,abwv_67 freedom main label,"inside c.b. neck, see q/a for placement",1,gold/black,,,,,,,,,,,,,,,gold/black,,,,,,,,,gold/black,gold/black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AB18MJ1_032_ BOM.csv,rr,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,,,,,,,,,,,,,,,black/gold,,,,,,,,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AB18MJ1_032_ BOM.csv,ss,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,,,,,,,,,,,,,,,black,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AB18MJ1_032_ BOM.csv,tt,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/gold,,,,,,,,,,,,,,,black/gold,,,,,,,,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AB18MJ1_032_ BOM.csv,uu,flag  label,ablt_01 flag label (pill logo side),right vent 2cm from bottom of vent,1,black/white,,,,,,,,,,,,,,,black/white,,,,,,,,,black/white,black/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AB18MJ1_032_ BOM.csv,vv,branding,abpr_10 large airpill print,"centered on wearer's back, see artwork palcement for detail",1,oxblood 19-1331tpx,,,,,,,,,,,,,,,camel 17-1019tpx,,,,,,,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AB18MJ1_032_ BOM.csv,ww,branding,abwv_103 awesome woven label,"left chest, see art placement for detail",1,black/gold,,,,,,,,,,,,,,,black/gold,,,,,,,,,black/gold,black/gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
