,Style,label,material/trim,description,location,qty,black,heather gray,oxblood,sea pine,tbd,tbd.1,tbd.2,tbd.3,tbd.4,tbd.5,duffel,rust,butter,khaki,kombu green,dark navy,moose,pizza,mens fish,olive night,camel,pineneedle,sterilng blue,rose smoke,vintage black,dinoflage,forest,dk khaki,greyskull,wood duck critterflage,evergreen,flame,day jungle,navy,mint julep,dark olive,puddle,bone,black spruce,stone critterflage,gold,black wax,camel wax,soviet grey wax,willow,dirks critterflage,vintage blue wax,see see collab,vintage blue,red dawn,night jungle,shell fabric,bpw1303 'baby twill'         100% polyester 15k/10k +breathable coating + dwr,"main body, self fabric back neck patch",none
17,AB19MS1_111_BOM-170415.csv,kk,key clip,plastic key clip attched with 8mm  width webbing loop,inside w. right lower body handwarmer pocket,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AB19MS1_111_BOM-170415.csv,ll,plastic d-ring,"h301- 1.5"" plastic d-ring",top of front bib,2,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AB19MS1_111_BOM-170415.csv,mm,buckle,goggle strap adjuster,shoulder straps,2 pcs,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AB19MS1_111_BOM-170415.csv,nn,strap holder,plastic back strap holder,back shoulder straps,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AB19MS1_111_BOM-170415.csv,oo,elastic,goggle strap elastic: 3.5cm width,shoulder straps,2 pcs,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AB19MS1_111_BOM-170415.csv,pp,elastic,gripper elastic,at lower leg gaiters,2,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AB19MS1_111_BOM-170415.csv,qq,webbing,8mm  width webbing,key clip attachment,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AB19MS1_111_BOM-170415.csv,rr,main label,tbd,11cm below cb neck,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AB19MS1_111_BOM-170415.csv,ss,size label,abwv_69 size label,sewn in and centered below abwv_107 or abpa_70,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AB19MS1_111_BOM-170415.csv,tt,w/c label/content,w/c label satin with print (as used on 12/13  bulk),"sewn in at wearers inside left side seam, 10 cm up from waistband zipper seam.",1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AB19MS1_111_BOM-170415.csv,uu,branding,tbd,tbd,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AB19MS1_111_BOM-170415.csv,vv,branding,tbd,tbd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AB19MS1_111_BOM-170415.csv,ww,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AB19MS1_111_BOM-170415.csv,xx,hangtag,tbd,tbd,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AB19MS1_111_BOM-170415.csv,yy,hangtag,tbd,tbd,1,,,,,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AB19MS1_111_BOM-170415.csv,zz,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,,,,,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AB19MS1_111_BOM-170415.csv,aaa,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,,,,,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AB19MS1_111_BOM-170415.csv,bbb,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,,,,,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,AB18MJ1_075_BOM.csv,a,shell fabric,sond035-2l1-h 100%nylon 10k/8k dwr+breathable coating (supplied by li peng),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AB18MJ1_075_BOM.csv,b,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"main body, hood, sleeves, pocket flaps, sleeve tabs, back neck self fabric patch",none,,,,,,,,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AB18MJ1_075_BOM.csv,c,lining,210 t taffeta (supplied by li peng),"powder skirt, pocket bag",none,,,,,tbd,tbd,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB18MJ1_075_BOM.csv,d,other , velvety tricot - item# bb47-6b,"inside lining, comfort chin guard, inner front pocket bag panel",none,,,,,tbd,tbd,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AB18MJ1_075_BOM.csv,e,other,100% poly mesh - item# cb-46-2b,"vents, large internal goggle pocket",none,,,,,tbd,tbd,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AB18MJ1_075_BOM.csv,f,other,nylon/elastic lycra - item# dc-9a,"powder skirt, hood drawcord tunnel",none,,,,,tbd,tbd,tbd,tbd,tbd,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AB18MJ1_075_BOM.csv,g,other,lycra binding tape,internal mesh pocket opening,none,,,,,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AB18MJ1_075_BOM.csv,h,other,gripper elastic,powder skirt,none,,,,,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AB18MJ1_075_BOM.csv,i,other,clear pvc,pass pocket window opening at outside of powder skirt,none,,,,,clear,clear,clear,clear,clear,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AB18MJ1_075_BOM.csv,j,other,"1x1 rib knit,good quality arcylic/spandex",cuffs,none,,,,,black,black,black,black,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AB18MJ1_075_BOM.csv,k,insulation,60gm insulation,"main body, hood, sleeves",none,,,,,white,white,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AB18MJ1_075_BOM.csv,l,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,,,,,white,white,white,white,white,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
