index,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,material_garment,fabric,trims,zipper,outer,inner
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-203-18_AMERICANA,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-203-18_AMERICANA,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-203-18_AMERICANA,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-203-18_AMERICANA,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-204-17_REGULAR FIT CARGO PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,SEALON,,,,,L1,L1-205-17_SLIM CHINO PANT,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-205-17_SLIM CHINO PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY SEAM SEALED,,,,,,,,,TSGS,,,,,L1,L1-205-18_SLIM CHINO,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-205-18_SLIM CHINO,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-205-18_SLIM CHINO,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-205-18_SLIM CHINO,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-205-18_SLIM CHINO,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-205-18_SLIM CHINO,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-206-17_STRAIGHT LEG CHINO PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-206-18_TAXWOOD PANT,1,0,1,0,1,0
,,,LUCKY / LTC32509-R5-H311 ,2L  / 20K/20K,,,,,,,,,,,,,LTC32509-R5-H311,,,,L1,L1-206-18_TAXWOOD PANT,1,1,0,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-206-18_TAXWOOD PANT,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SOLUNA/ SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-206-18_TAXWOOD PANT,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-207-17_SLIM BASIC PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-207-18_STRAIGHT STANDARD,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-207-18_STRAIGHT STANDARD,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-207-18_STRAIGHT STANDARD,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-207-18_STRAIGHT STANDARD,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-207-18_STRAIGHT STANDARD,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-207-18_STRAIGHT STANDARD,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-208-17_SKINNY TWILL PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,CRITICALLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-208-18_SKINNY TWILL,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-208-18_SKINNY TWILL,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-208-18_SKINNY TWILL,1,0,1,0,1,0
