,brand,style,item,supplier,ref,description,content,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,fabric,trims,outter ,inner
73,scott usa,m defined plus jkt,tba-use available #3 coil closed end for proto,ykk,,none,,,,hand pocket zippers,2,none,0,use available,use available,use available,use available,use available,none,0,1,,
74,scott usa,m defined plus jkt,tba-use available #3 coil closed end for proto,ykk,,none,,,,left sleeve pocket zipper,1,none,0,use available,use available,use available,use available,use available,none,0,1,,
75,scott usa,m defined plus jkt,142-01951-000013 ,utx,,flexible zipper puller,,,,"cf zipper (1), hand pocket (2), sleeve pocket (1)          ",4,0.11,0.44,lunar blue,lunar blue,moroccan red,nightfall blue,caviar black,none,0,1,,
76,scott usa,m defined plus jkt,pca224,utx,,cordlock,,,,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,0,1,,
77,scott usa,m defined plus jkt,10mm grosgrain ribbon,woosung,,webbing,,,,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
78,scott usa,m defined plus jkt,p481s001,utx,,rubber puller ,,,,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,0,1,,
79,scott usa,m defined plus jkt,1034213,chun wo ho,,custom braid 2.2mm,,,,bottom hem,none,0.109,yard,marine blue,marine blue,moroccan red,nightfall blue,caviar black,none,0,1,,
80,scott usa,m defined plus jkt,5mm eyelet,il jin  ,,5mm logo eyelet,,,, hem adjustment exit (4),4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,antique silver,none,0,1,,
81,scott usa,m defined plus jkt,"3/4"" foldable lycra",woosung,,binding,,,,"hood binding, top and bottom of face mask, edge of windflap, finish at zipper tape edge, neck seam          ",none,0.244,0.244,marine blue,marine blue,royal red,lake blue,caviar black,none,0,1,,
82,scott usa,m defined plus jkt,gramax thread,coats,,normal flatlock,,,,"armhole seams, hood seams, face mask seam, underarm seams",none,none,0,lunar blue,marine blue,royal red,nightfall blue,caviar black,none,0,1,,
83,scott usa,m defined plus jkt,gramax thread,coats,,normal flatlock,,,,side seams,none,none,0,marine blue,lunar blue,moroccan red,lake blue,caviar black,none,0,1,,
84,scott usa,m defined plus jkt,dp-634,factory,,direct print (matte quality),,,,upper left chest,1,none,0,lunar blue,19-4024 dress blues,18-1449 ketchup,19-4110 nightfall blue,iron grey,none,0,1,,
85,scott usa,m defined plus jkt,sb-dp-804,factory,,direct print (matte quality),,,,right bicep,1,none,0,marine blue,marine blue,royal red,nightfall blue,irong rey,none,0,1,,
86,scott usa,m defined plus jkt,durawelt overlays,factory,,"1/4"" durawelt overlays",,,,sleeve pocket ,none,none,0,lunar blue,lunar blue,moroccan red,lake blue,caviar black,none,0,1,,
87,scott usa,m defined plus jkt,durawelt overlays,factory,,"1/4"" durawelt overlays",,,,around hand pocket zippers,none,none,0,marine blue,lunar blue,moroccan red,lake blue,caviar black,none,0,1,,
88,scott usa,m defined plus jkt,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,none,0,1,,
89,scott usa,m defined plus jkt,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
90,scott usa,m defined plus jkt,ccl-001,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,x,none,0,1,,
91,scott usa,m defined plus jkt,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,0,1,,
92,scott usa,m defined plus jkt,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,0,1,,
93,scott usa,m defined plus jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,0,1,,
94,scott usa,m defined plus jkt,fit-ht-gen,daeyong,,general fit insert,,,,insert,1,0.11,0.11,x,x,x,x,x,none,0,1,,
95,scott usa,m defined plus jkt,fit-ht-athl,daeyong,,athletic fit hangtag,,,,top of hang tag,1,0.055,0.055,x,x,x,x,x,none,0,1,,
96,scott usa,m defined plus jkt,duro-ht-uv-2,daeyong,,duroshade hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
97,scott usa,m defined plus jkt,dryo-ht-wr-2,daeyong,,dryozone dwr hangtag,,,,insert,1,0.1,0.1,x,x,x,x,x,none,0,1,,
98,scott usa,m defined polar jkt,#9068 powerdry,polartec,,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar",,,,none,none,11.2,meter,marine blue,caviar black,nightfall blue,moroccan red,none,none,1,0,,
99,scott usa,m defined polar jkt,sck-757s,singtex,,shell fabric at chest pocket,,,,none,none,4.8,yard,marine blue,caviar black,nightfall blue,moroccan red,none,none,1,0,,
100,scott usa,m defined polar jkt,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,interior collar,none,0.1,yard,stock white,stock white,stock white,stock white,none,none,1,0,,
101,scott usa,m defined polar jkt,cifol-39 dsbyg (h3),ykk,,"#3 coil, open end, left insert, dsbyg slider ",,,,cf zipper,1,none,0,lunar blue,caviar black,nightfall blue,moroccan red,none,none,0,1,,
102,scott usa,m defined polar jkt,chc-36 dadr2a (e),ykk,,"#3 invisible coil, closed end, dadr2a ",,,,chest pocket zipper,1,none,0,lunar blue,iron grey,nightfall blue,moroccan red,none,none,0,1,,
103,scott usa,m defined polar jkt,cfc-39 dsbyg (h3),ykk,,"#3 coil, closed end, dsbyg slider ",,,,back pocket,1,none,0,lunar blue,iron grey,nightfall blue,moroccan red,none,none,0,1,,
104,scott usa,m defined polar jkt,"3/4"" foldable lycra    ",woosung,,binding,,,,interior cf zipper tape edge finish,none,0.244,yard,lunar blue,caviar black,nightfall blue,moroccan red,none,none,0,1,,
105,scott usa,m defined polar jkt,ext-tape-10,giant knitting,,reflective tape,,,,mp3 loop at cb neck seam,none,0.56,yard,reflective silver,reflective silver,reflective silver,reflective silver,none,none,0,1,,
106,scott usa,m defined polar jkt,coverstitch,ns coats,,4 needle coverstitching,,,,"seams at armhole, underarm, side seams, lower body horizontal seam",none,none,0,marine blue,caviar black,nightfall blue,moroccan red,none,none,0,1,,
107,scott usa,m defined polar jkt,tba,tba,,tba,,,,front left chest,1,none,0,lunar blue,iron grey,19-4010 eclipse blue,iron grey,none,none,0,1,,
108,scott usa,m defined polar jkt,"can you test which type works best with the polartec fabric such as print, high density print etc?",tba,,tba,,,,right bicep,1,none,0,lunar blue,iron grey,19-4010 eclipse blue,iron grey,none,none,0,1,,
