,Style,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
29,N18-204 TRAVERSE_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-102 DENALI ANORAK_TRIMS.csv,"#5 ykk, 5vt9, 
vislon® aquaguard® matte film",ykk / dalh 1-way semi auto locking,center front,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,N18-102 DENALI ANORAK_TRIMS.csv,"#3 ykk, 3vt9, 
vislon® aquaguard® matte film",non ykk /  1-way dfw short non locking,chest pocket vertical,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
2,N18-102 DENALI ANORAK_TRIMS.csv,"#3 ykk, 3vt9, 
vislon® aquaguard® matte film",non ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
3,N18-102 DENALI ANORAK_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,side entry zippers,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
4,N18-102 DENALI ANORAK_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets vertical,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
5,N18-102 DENALI ANORAK_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
6,N18-102 DENALI ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,,color,,,,,1
7,N18-102 DENALI ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,chest pocket vertical,,color,,,,,1
8,N18-102 DENALI ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,,color,,,,,1
9,N18-102 DENALI ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,side entry zippers,,color,,,,,1 per side = 2
10,N18-102 DENALI ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
11,N18-102 DENALI ANORAK_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
12,N18-102 DENALI ANORAK_TRIMS.csv,nitro trim number //  metal snap,xxx,chin,,color,,,,,1
13,N18-102 DENALI ANORAK_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
14,N18-102 DENALI ANORAK_TRIMS.csv,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4
15,N18-102 DENALI ANORAK_TRIMS.csv,metal eyelets 11mm ,luk's / et89,back hood adjust,,metal color,,,,,1
16,N18-102 DENALI ANORAK_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
17,N18-102 DENALI ANORAK_TRIMS.csv,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2
18,N18-102 DENALI ANORAK_TRIMS.csv,"grosgrain 3/8""",xxx,attach back hood cord lock,,color,,,,,1
19,N18-102 DENALI ANORAK_TRIMS.csv,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1
20,N18-102 DENALI ANORAK_TRIMS.csv,"elastic  1""",xxx,encased in back of sleeve cuffs,,color,,,,,1 per side = 2
21,N18-102 DENALI ANORAK_TRIMS.csv,shockcord,xxx,hood,,color,,,,,1
22,N18-102 DENALI ANORAK_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
23,N18-102 DENALI ANORAK_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,hand pocket flaps,,match to shell,,,,,2 per side = 4
24,N18-102 DENALI ANORAK_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2
25,N18-102 DENALI ANORAK_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
26,N18-102 DENALI ANORAK_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
27,N18-102 DENALI ANORAK_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
28,N18-102 DENALI ANORAK_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
29,N18-102 DENALI ANORAK_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,W18-201_YAMANOUCHI_BIB 3L_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-201_YAMANOUCHI_BIB 3L_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,W18-201_YAMANOUCHI_BIB 3L_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-201_YAMANOUCHI_BIB 3L_SHELL.csv,solid coated 210t,supplier / ref code,gaiter,100% polyester,color,,,,,
0,W18-108 REDUCE ANORAK_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-108 REDUCE ANORAK_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,W18-108 REDUCE ANORAK_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-108 REDUCE ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,color,color,color,color,
4,W18-108 REDUCE ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,color,color,color,color,
5,W18-108 REDUCE ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,color,color,color,color,
6,W18-108 REDUCE ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,color,color,color,color,color,
0,N18-106 SUMMIT PACKABLE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-106 SUMMIT PACKABLE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-106 SUMMIT PACKABLE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-106 SUMMIT PACKABLE_SHELL.csv,brushed tech mesh,supplier / ref code,chin facing,100% polyester,color,,,,,
4,N18-106 SUMMIT PACKABLE_SHELL.csv,solid 210t ,solis / sonp006-1,pocket bags (top hand),100% nylon,color,,,,,
5,N18-106 SUMMIT PACKABLE_SHELL.csv,mesh,supplier / ref code,pocket bags (palm side),100% polyester,color,,,,,
0,W18-107 CRUSH PACKABLE_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
1,W18-107 CRUSH PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking,arm pocket,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
2,W18-107 CRUSH PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking,left hand pocket vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
3,W18-107 CRUSH PACKABLE_TRIMS.csv,#5 coil zipper,non ykk / dfw short 1-way non locking with double sided zipper pull,right  hand pocket vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
4,W18-107 CRUSH PACKABLE_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
5,W18-107 CRUSH PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
6,W18-107 CRUSH PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,arm pocket,,color,,,,,1
7,W18-107 CRUSH PACKABLE_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
8,W18-107 CRUSH PACKABLE_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
9,W18-107 CRUSH PACKABLE_TRIMS.csv,"nitro trim number: n18-trim-009
nitro speech bubble 
heat transfer 3cm x 3cm",sealon,"left sleeve hem, 3"" up from cuff, centered over sleeve fold",,color,,,,,1
10,W18-107 CRUSH PACKABLE_TRIMS.csv,"nitro trim number: n18-trim-010
nitro text
reflective heat transfer",sealon,back right,,color,,,,,1
11,W18-107 CRUSH PACKABLE_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
12,W18-107 CRUSH PACKABLE_TRIMS.csv,8mm metal eyelet,luk's / et04,hood adjust,,color,,,,,2 per side = 4
13,W18-107 CRUSH PACKABLE_TRIMS.csv,8mm metal eyelet,luk's / et04,hem adjust (right side),,color,,,,,2
14,W18-107 CRUSH PACKABLE_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
15,W18-107 CRUSH PACKABLE_TRIMS.csv,bonding film,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
16,W18-107 CRUSH PACKABLE_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
17,W18-107 CRUSH PACKABLE_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2
18,W18-107 CRUSH PACKABLE_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
19,W18-107 CRUSH PACKABLE_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
20,W18-107 CRUSH PACKABLE_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
21,W18-107 CRUSH PACKABLE_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
22,W18-107 CRUSH PACKABLE_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-202 ALTAI_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,fly,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,N18-202 ALTAI_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),non ykk /  1-way dfw short non locking,hand pockets,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
2,N18-202 ALTAI_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,back pockets horizontal ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
3,N18-202 ALTAI_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,cargo pocket horizontal ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
4,N18-202 ALTAI_TRIMS.csv,#5 aquaguard coil zipper with matte transparent film (5cnt10),non ykk /  1-way dfw short non locking,thigh vent ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
5,N18-202 ALTAI_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gusset ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
6,N18-202 ALTAI_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
7,N18-202 ALTAI_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pocket zippers,,color,,,,,1 per side = 2
8,N18-202 ALTAI_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,back pockets horizontal ,,color,,,,,1 per side = 2
9,N18-202 ALTAI_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,cargo pocket horizontal ,,color,,,,,1
10,N18-202 ALTAI_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,thigh vent zippers,,color,,,,,1 per side = 2
11,N18-202 ALTAI_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
12,N18-202 ALTAI_TRIMS.csv,nitro trim number //  metal shank,xxx,waist band closure,,color,,,,,1
13,N18-202 ALTAI_TRIMS.csv,nitro trim number 11nt-033 / logo metal grommet,luks/ et07-n0711,front left belt loop,,color,,,,,1
14,N18-202 ALTAI_TRIMS.csv,gripper elastic/ n18-trim-001,chun wo ho/ (jt1343116-bb 25mm),gaiter hems,,color,,,,,2
15,N18-202 ALTAI_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
16,N18-202 ALTAI_TRIMS.csv,15mm metal snap,xxx,village hem snaps,,cap and base color,,,,,1 per side = 2
17,N18-202 ALTAI_TRIMS.csv,boot hook,xxx,front gaiter,,metal color,,,,,1 per side = 2
18,N18-202 ALTAI_TRIMS.csv,keyclip,xxx,right hand pocket,,black,,,,,1
19,N18-202 ALTAI_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
20,N18-202 ALTAI_TRIMS.csv,grosgrain,xxx,under leg snaps,,color,,,,,1 per side = 2
21,N18-202 ALTAI_TRIMS.csv,grosgrain,xxx,under boot hook,,color,,,,,1 per side = 2
22,N18-202 ALTAI_TRIMS.csv,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,,color,,,,,1
23,N18-202 ALTAI_TRIMS.csv,bonding film,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
24,N18-202 ALTAI_TRIMS.csv,bonding film,xxx,waist adjust tabs,,color,,,,,1 per side = 2
25,N18-202 ALTAI_TRIMS.csv,bonding film,xxx,fly opening,,color,,,,,1
26,N18-202 ALTAI_TRIMS.csv,bonding film,xxx,hand pocket zipper garages,,color,,,,,1 per side = 2
27,N18-202 ALTAI_TRIMS.csv,bonding film,xxx,cargo pocket flaps,,color,,,,,1
28,N18-202 ALTAI_TRIMS.csv,bonding film,xxx,back pocket flaps,,color,,,,,1 per side = 2
29,N18-202 ALTAI_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
30,N18-202 ALTAI_TRIMS.csv,"1"" x 1 1/4"" velcro with rounded corners",paiho loop #1057 on top / paiho hook etn7 on bottom,waist band,,match to shell,,,,,2 tabs
31,N18-202 ALTAI_TRIMS.csv," 1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,back pocket flaps (hidden),,match to shell,,,,,2 per side
32,N18-202 ALTAI_TRIMS.csv,"1 1/4"" x  4 1/2"" velcro with rounded corners",paiho loop #1057 ,waist adjust - on body,,match to shell,,,,,1 per side = 2
33,N18-202 ALTAI_TRIMS.csv,"1 1/4"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,waist adjust - on tabs,,match to shell,,,,,1 per side = 2
34,N18-202 ALTAI_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
35,N18-202 ALTAI_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
36,N18-202 ALTAI_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
37,N18-202 ALTAI_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-109 REGULATOR Fleece_TRIMS.csv,#5 vislon zipper,ykk / dalh 1-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
1,N18-109 REGULATOR Fleece_TRIMS.csv,#5 vislon zipper,ykk / dfw short non lock,hand pockets vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1 per side = 2
2,N18-109 REGULATOR Fleece_TRIMS.csv,#5 coil zipper,non ykk / dfw short non lock,chest pocket,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
3,N18-109 REGULATOR Fleece_TRIMS.csv, #5 coil zipper,non ykk / dfw short non lock,lining pocket vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
4,N18-109 REGULATOR Fleece_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
5,N18-109 REGULATOR Fleece_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
6,N18-109 REGULATOR Fleece_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
7,N18-109 REGULATOR Fleece_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,,color,,,,,1
8,N18-109 REGULATOR Fleece_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
9,N18-109 REGULATOR Fleece_TRIMS.csv,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,,color,,,,,1
10,N18-109 REGULATOR Fleece_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
11,N18-109 REGULATOR Fleece_TRIMS.csv,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",sleeve and bottom hems,,color,,,,,3
12,N18-109 REGULATOR Fleece_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
13,N18-109 REGULATOR Fleece_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
14,N18-109 REGULATOR Fleece_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
15,N18-109 REGULATOR Fleece_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
16,N18-109 REGULATOR Fleece_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
17,N18-109 REGULATOR Fleece_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-103 JARVIS_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-103 JARVIS_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-103 JARVIS_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-103 JARVIS_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,
4,N18-103 JARVIS_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
5,N18-103 JARVIS_SHELL.csv,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,
6,N18-103 JARVIS_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
7,N18-103 JARVIS_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,color,,,,,
8,N18-103 JARVIS_SHELL.csv,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
9,N18-103 JARVIS_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
10,N18-103 JARVIS_SHELL.csv,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,
11,N18-103 JARVIS_SHELL.csv,power stretch mesh,supplier / ref code,underarm vents,100% polyester,color,,,,,
12,N18-103 JARVIS_SHELL.csv,power stretch mesh,supplier / ref code,goggle pocket,100% polyester,color,,,,,
13,N18-103 JARVIS_SHELL.csv,power stretch mesh,supplier / ref code,back vent,100% polyester,color,,,,,
14,N18-103 JARVIS_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
0,N18-101-GLADES_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-101-GLADES_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-101-GLADES_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-101-GLADES_SHELL.csv,solid coated 210t,solis / sonp006-pu03,powder skirt,100% nylon,color,,,,,
4,N18-101-GLADES_SHELL.csv,shell,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
5,N18-101-GLADES_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
6,N18-101-GLADES_SHELL.csv,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,
7,N18-101-GLADES_SHELL.csv,power stretch mesh,supplier / ref code,underarm vents,100% polyester,color,,,,,
8,N18-101-GLADES_SHELL.csv,power stretch mesh,supplier / ref code,goggle pocket,100% polyester,color,,,,,
9,N18-101-GLADES_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
10,N18-101-GLADES_SHELL.csv,solid 210t ,solis / sonp006-1,upper of sleeve gaiter,content,color,,,,,
0,W18-202 ELBRUS 2L_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,fly,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,W18-202 ELBRUS 2L_TRIMS.csv, #5 vislon zipper (metallic teeth),ykk /  1-way dfw short non locking,hand pockets,,color,,,,,1 per side = 2
2,W18-202 ELBRUS 2L_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,back pocket horizontal,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
3,W18-202 ELBRUS 2L_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,thigh vents ,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
4,W18-202 ELBRUS 2L_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gussets,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
5,W18-202 ELBRUS 2L_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
6,W18-202 ELBRUS 2L_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pocket zippers,,color,,,,,1 per side = 2
7,W18-202 ELBRUS 2L_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,thigh vent zippers,,color,,,,,1 per side = 2
8,W18-202 ELBRUS 2L_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
9,W18-202 ELBRUS 2L_TRIMS.csv,nitro trim number n19-trim-001 //  15mm nitro logo snap,luks/ trim number ?,"waist band closure 
(upper snap)",,matte black,,,,,1
10,W18-202 ELBRUS 2L_TRIMS.csv,nitro trim number // ?? (non logo),luks/ trim number ?,waist band closure (lower snap),,matte black,,,,,1
11,W18-202 ELBRUS 2L_TRIMS.csv,nitro trim number 11nt-033 / logo metal grommet,luks/ et07-n0711,front left belt loop,,color,,,,,1
12,W18-202 ELBRUS 2L_TRIMS.csv,nitro trim number n19-trim-002// faux leather debossed nitro logo patch,"chun wo ho/
#m1494817",back right waist band,,color,,,,,1
13,W18-202 ELBRUS 2L_TRIMS.csv,nitro trim number n19-trim-002// faux leather debossed nitro logo patch,"chun wo ho/
#m1494817",cargo pocket flap,,color,,,,,1
14,W18-202 ELBRUS 2L_TRIMS.csv,nitro trim number n18-trim-009 / heat transfer,sealon / ,back left leg,,color,,,,,1
15,W18-202 ELBRUS 2L_TRIMS.csv,gripper elastic/ n18-trim-001,chun wo ho/ (jt1343116-bb 25mm),gaiter hems,,color,,,,,2
16,W18-202 ELBRUS 2L_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
17,W18-202 ELBRUS 2L_TRIMS.csv,15mm metal snap,xxx,village hem snaps,,cap and base color,,,,,1 per side = 2
18,W18-202 ELBRUS 2L_TRIMS.csv,boot hook,xxx,front gaiter,,metal color,,,,,1 per side = 2
19,W18-202 ELBRUS 2L_TRIMS.csv,keyclip,xxx,right hand pocket,,black,,,,,1
20,W18-202 ELBRUS 2L_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
21,W18-202 ELBRUS 2L_TRIMS.csv,grosgrain,xxx,under leg snaps,,color,,,,,1 per side = 2
22,W18-202 ELBRUS 2L_TRIMS.csv,grosgrain,xxx,under boot hook,,color,,,,,1 per side = 2
23,W18-202 ELBRUS 2L_TRIMS.csv,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,,color,,,,,1
24,W18-202 ELBRUS 2L_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
25,W18-202 ELBRUS 2L_TRIMS.csv,"1"" x 1 1/4"" velcro with rounded corners",paiho loop #1057 on top / paiho hook etn7 on bottom,cf waistband closure,,match to shell,,,,,1 set
26,W18-202 ELBRUS 2L_TRIMS.csv,"1 1/4"" x 4 1/2"" velcro with rounded corners",paiho loop #1057 ,waist adjust - on body,,match to shell,,,,,1 per side = 2
27,W18-202 ELBRUS 2L_TRIMS.csv,"1 1/4"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,waist adjust - on tabs,,match to shell,,,,,1 per side = 2
28,W18-202 ELBRUS 2L_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,cargo pocket flap (hidden),,match to shell,,,,,2 sets
29,W18-202 ELBRUS 2L_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
30,W18-202 ELBRUS 2L_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
31,W18-202 ELBRUS 2L_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
32,W18-202 ELBRUS 2L_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,W18-203 WHISTLER_TRIMS.csv, #5 coil zipper,ykk / dalh 1-way semi auto locking,fly,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,W18-203 WHISTLER_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
