,brand,style,item,trims,fabric,description,ref,supplier,position,spec,qty,price,total,terms,colorway-1,colorway-2,colorway-3,colorway-4
59,head,821156 stelvio pants men,label,1,0,head neck label compact woven loop  -black,h-aw 115,avery dennison,"inside pants, centre back waist band",none,1,none,none,none,black,black,black,black
60,head,821156 stelvio pants men,label,1,0,care and content label,h- aw 131,clotex,below  size label h-aw 115,none,1,none,none,none,white,white,white,white
61,head,821156 stelvio pants men,zipper,1,0,"coil reversed #5 o/e, auto lock",none,ykk,front zipper,none,1,none,none,none,scarlet 19-1760 tcx ykk 519,yellow ykk 504,dress blue ykk 960,black ykk580
62,head,821156 stelvio pants men,zipper,1,0,"slider, dab",dab,ykk,front zipper,none,1,none,none,none,scarlet 19-1760 tcx ykk 519,yellow ykk 504,dress blue ykk 960,black ykk580
63,head,821156 stelvio pants men,zipper,1,0,#3 concealed zip ,none,ykk,1x inside pocket,none,1,none,none,none,scarlet 19-1760 ykk 166,yellow ykk 504,dress blue ykk 160,black ykk580
64,head,821156 stelvio pants men,zipper,1,0,slider dacr-s,dacr-s,ykk,1x inside pocket,none,2,none,none,none,scarlet 19-1760 ykk 166,yellow ykk 504,dress blue ykk 160,black ykk580
65,head,821156 stelvio pants men,zipper,1,0,#3 coil reverse,none,ykk,2x  front pockets,none,2,none,none,none,scarlet 19-1760 tcx ykk 519,yellow ykk 504,dress blue ykk 960,black ykk580
66,head,821156 stelvio pants men,zipper,1,0,slider dav3lh,dav3lh,ykk,2x  front pockets,none,2,none,none,none,scarlet 19-1760 tcx ykk 519,yellow ykk 504,dress blue ykk 960,black ykk580
67,head,821156 stelvio pants men,zipper,1,0,#3 coil reverse,none,ykk,"2x  ventilation zips, ",none,2,none,none,none,dress blue ykk 960,yellow ykk 504,dress blue ykk 960,yellow ykk 504
68,head,821156 stelvio pants men,zipper,1,0,slider dav3lh,dav3lh,ykk,"2x  ventilation zips, ",none,2,none,none,none,dress blue ykk 960,yellow ykk 504,dress blue ykk 960,yellow ykk 504
69,head,821156 stelvio pants men,stitching,1,0,bartacks,"silver thread , 1cm",kido,"on each zipper ending, ",none,none,none,none,none,silver c-407,silver c-407,silver c-407,silver c-407
70,head,821156 stelvio pants men,stitching,1,0,bartacks,dtm thread,kido,on each belt loop,none,none,none,none,none,dtm,dtm,dtm,dtm
71,head,821156 stelvio pants men,zip puller,1,0,head zipper puller with loop,h-zp007 df 0752-0,dragon times,2x hand pockets,none,2,none,none,none,gloss silver db 0752-0,gloss silver db 0752-0,gloss silver db 0752-0,gloss silver db 0752-0
72,head,821156 stelvio pants men,zip puller,1,0,rope puller with loop,h-el 025,dragon times,2x ventilation,none,2,none,none,none,black,black,black,black
73,head,821156 stelvio pants men,trims,1,0,silicon elastic tape  head 25mm,h-el 004,guo zheng webbing co ltd,snow skirt at leg openings,none,none,none,none,none,black,black,black,black
74,head,821156 stelvio pants men,trims,1,0,inside  elastic tape,tebdm4001,dg.in dal - kido,inside back waistband,none,none,none,none,none,white,white,white,white
75,head,821156 stelvio pants men,trims,1,0,hotmelt/welding film,hot melt film (am-120s),himel - kido,"belt loop, waist adjustment flap, hem, fly",none,none,none,none,none,none,none,none,none
76,head,821156 stelvio pants men,packaging,1,0,polybag with head print,none,vietnam.nhat loi,size matching garment - follow packing instruction,none,1,none,none,none, -- , -- , -- , -- 
77,head,821156 stelvio pants men,packaging,1,0,barcode sticker,none,vn.cosmo,attach on polybag - follow packing instruction,none,1,none,none,none, -- , -- , -- , -- 
78,head,821156 stelvio pants men,packaging,1,0,barcode sticker,none,vn.cosmo,attach on carton - follow packing instruction,none,none,none,none,none,none,none,none,none
79,head,821156 stelvio pants men,trims,1,0,"plastic hanger "" head""","h-pa 005 
(ell45cs with bar )",mainetti hk,none,none,1,none,none,none,semi clear,semi clear,semi clear,semi clear
80,head,821156 stelvio pants men,hang tags,1,0,main hang-tag head 360,h-pa 008,avery dennsion,attach hang-tag on left front pocket,none,1,none,none,none, -- , -- , -- , -- 
81,head,821156 stelvio pants men,hang tags,1,0,head  360  tag inlay ,h-pa 009,avery dennsion,inlay inside main hang-tag,none,1,none,none,none, -- , -- , -- , -- 
82,head,821156 stelvio pants men,hang tags,1,0,cord for hang tag,he htco-001,dg.me qi,to attach hang-tag,none,1,none,none,none, -- , -- , -- , -- 
83,head,821156 stelvio pants men,hang tags,1,0,barcode sticker,none,vn.cosmo,attach on hang-tag - follow packing instruction,none,1,none,none,none, -- , -- , -- , -- 
84,head,821156 stelvio pants men,hang tags,1,0,ykk general hang-tag,none,ykk,behind generel hang-tag,none,1,none,none,none, -- , -- , -- , -- 
