,brand,style,description,ref,position,spec,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,qty,inner,outer,fabric,trims
83,Nitro,N18-103 JARVIS,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,,0,1,1,0
84,Nitro,N18-103 JARVIS, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
85,Nitro,N18-103 JARVIS, #5 coil zipper,non ykk /  1-way dfw short non locking,chest pocket horizontal,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
86,Nitro,N18-103 JARVIS, #3 coil zipper,non ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
87,Nitro,N18-103 JARVIS, #3 coil zipper,non ykk /  1-way dfw short non locking,underarm vents,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2,0,1,0,1
88,Nitro,N18-103 JARVIS, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets vertical,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2,0,1,0,1
89,Nitro,N18-103 JARVIS, #3 coil zipper,non ykk /  1-way dfw short non locking,lining pocket vertical,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
90,Nitro,N18-103 JARVIS,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,,color,,,,,1,0,1,0,1
91,Nitro,N18-103 JARVIS,nitro custom pull / n14-trim-139,knk / 3738,chest pocket horizontal,,color,,,,,1,0,1,0,1
92,Nitro,N18-103 JARVIS,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,,color,,,,,1,0,1,0,1
93,Nitro,N18-103 JARVIS,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,,color,,,,,1 per side = 2,0,1,0,1
94,Nitro,N18-103 JARVIS,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2,0,1,0,1
95,Nitro,N18-103 JARVIS,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,,color,,,,,1,0,1,0,1
96,Nitro,N18-103 JARVIS,nitro trim number //  metal snap,xxx,chin,,color,,,,,1,0,1,0,1
