,brand,style,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,spec,item,position,ref,fabric,trims,outer,inner
60,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,,,,,#5 coil,side entry hand pockets,dadhr diecast wire (non ykk) auto lock ,0,1,1,0
61,L1,L1-102-17_WINDSOR_TRIMS,1,,pseudo anti silver slider  and dtm teeth / black tape,none,none,,,,,#5 coil,inside pocket,dadhr diecast wire (non ykk) auto lock ,0,1,1,0
62,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,zipper pulls,supplier/ ref number,0,1,1,0
63,L1,L1-102-17_WINDSOR_TRIMS,1,,pseudo anti silver ,none,none,,,,,l1 snap on metal zipper pull,center front,luks / l1-2016-trim-009 ,0,1,1,0
64,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,shell fabric matching,none,none,,,,, self fabric pull,underarms,factory made // 11nt-045 ,0,1,1,0
65,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,shell fabric matching,none,none,,,,, self fabric pull,side entry hand pockets,factory made // 11nt-045 ,0,1,1,0
66,L1,L1-102-17_WINDSOR_TRIMS,1,,shell fabric matching,none,none,,,,, self fabric pull,inside pocket,factory made // 11nt-045 ,0,1,1,0
67,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,l1 branded trims,supplier/ ref number,0,1,1,0
68,L1,L1-102-17_WINDSOR_TRIMS,1,,dtm,none,none,,,,,l1 small embroidery,front left sleeve,soluna / l1-2016-026,0,1,1,0
69,L1,L1-102-17_WINDSOR_TRIMS,1,,dtm,none,none,,,,,l1 large embroidery,back right ,soluna / l1-2016-027,0,1,1,0
70,L1,L1-102-17_WINDSOR_TRIMS,8,,pseudo anti silver,none,none,,,,,l1 snap,front placket and pocket flaps,luks / l1-2016-trim-001,0,1,1,0
71,L1,L1-102-17_WINDSOR_TRIMS,1,,tbd,none,none,,,,,l1 new patch,right hand pocket,luks / new trim ,0,1,1,0
72,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,snaps,supplier/ ref number,0,1,1,0
73,L1,L1-102-17_WINDSOR_TRIMS,"4 male, 2 female",,black,none,none,,,,,14 mm plastic snap,cf powder skirt closure,duraflex / 1414,0,1,1,0
74,L1,L1-102-17_WINDSOR_TRIMS,3 sets,,black,none,none,,,,,14 mm plastic snap,pow skirt: jacket to pant connection on powderskirt hem,duraflex / 1414,0,1,1,0
75,L1,L1-102-17_WINDSOR_TRIMS,"1 male, 1 female",,black,none,none,,,,,14 mm plastic snap,"""snap away powder skirt"" snap powder skirt to front facing when not in use",duraflex / 1414,0,1,1,0
76,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,cord locks,supplier/ ref number,0,1,1,0
77,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,tbd,none,none,,,,,cord lock,back hood cord lock,knk / sp-177,0,1,1,0
78,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,tbd,none,none,,,,,cord tip,back hood cord lock tip,knk / cs-074,0,1,1,0
79,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,tbd,none,none,,,,,cord lock,front hood cord locks,knk / sp-204,0,1,1,0
80,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,tbd,none,none,,,,,cord lock,hem cord locks,knk /  sp-058,0,1,1,0
81,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,tbd,none,none,,,,,cord lock,pocket cord tip,knk / cs-1,0,1,1,0
82,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,grommets,supplier/ ref number,0,1,1,0
83,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,pseudo anti silver ,none,none,,,,,grommet 11.5 mm (large),back hood cord exit,please sorce,0,1,1,0
84,L1,L1-102-17_WINDSOR_TRIMS,2 per side = 4,,pseudo anti silver ,none,none,,,,,grommet  8mm diameter,front hood adjust cord exit,please sorce,0,1,1,0
85,L1,L1-102-17_WINDSOR_TRIMS,2 per side = 4,,pseudo anti silver ,none,none,,,,,grommet  8mm diameter,hem adjust cord exit,please sorce,0,1,1,0
86,L1,L1-102-17_WINDSOR_TRIMS,1 per side = 2,,pseudo anti silver ,none,none,,,,,grommet  8mm diameter,hem adjust cord exit in lining pocket,please sorce,0,1,1,0
87,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,shockcord,supplier/ ref number,0,1,1,0
88,L1,L1-102-17_WINDSOR_TRIMS,none,,none,none,none,,,,,3mm stretch shockcord,hood & hem,suppler / ref nuber,0,1,1,0
89,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,webbing ,supplier/ ref number,0,1,1,0
90,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,"1/4"" flat x 1 3/4"" loop",keyclip loop right hand pocket,suppler / ref nuber,0,1,1,0
91,L1,L1-102-17_WINDSOR_TRIMS,5,,black,none,none,,,,,"1/4"" flat webbing loop",hem & hood cord lock tie downs,suppler / ref nuber,0,1,1,0
92,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,plastic keyclip ,right hand pocket,suppler / ref nuber,0,1,1,0
93,L1,L1-102-17_WINDSOR_TRIMS,tab behind each snap = 2,,black,none,none,,,,,"3/4"" x 1"" finished ",jacket to pant connection center back ,suppler / ref nuber,0,1,1,0
94,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,"3/4"" x 3 1/4"" flat webbing",jacket to pant connection at side tabs,suppler / ref nuber,0,1,1,0
95,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,elastic,supplier/ ref number,0,1,1,0
96,L1,L1-102-17_WINDSOR_TRIMS,1,,stock,none,none,,,,,25mm,powder skirt gripper elastic,suppler / ref nuber,0,1,1,0
97,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,elastine binding,goggle pocket,suppler / ref nuber,0,1,1,0
98,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,"1/4"" flat elastic",lining media pocket cable guide,suppler / ref nuber,0,1,1,0
99,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,none,encased in back of sleeve hem,suppler / ref nuber,0,1,1,0
100,L1,L1-102-17_WINDSOR_TRIMS,1,,black,none,none,,,,,"flat elastic tape 3/4"" x 4 1/4""",jacket to pant connection center back tab,suppler / ref nuber,0,1,1,0
101,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,item,velcro,supplier/ ref number,0,1,1,0
102,L1,L1-102-17_WINDSOR_TRIMS,1 loop tab,,matching,none,none,,,,,2.5cm x 9cm,cuff ,paiho / loop#1057,0,1,1,0
103,L1,L1-102-17_WINDSOR_TRIMS,1 hook tab,,matching,none,none,,,,,2.5cm x 6.5cm,cuff tab,paiho / hooketn7,0,1,1,0
104,L1,L1-102-17_WINDSOR_TRIMS,4 sets,,matching,none,none,,,,,1.3 cm x 7.5cm,cf placket,paiho / hooketn7 / loop#1057,0,1,1,0
105,L1,L1-102-17_WINDSOR_TRIMS,2 sets  per pocket flap,,matching,none,none,,,,,1.3 cm x 4cm,hand & chest pocket flaps,paiho / hooketn7 / loop#1057,0,1,1,0
106,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,spi,thread,ref number,0,1,1,0
107,L1,L1-102-17_WINDSOR_TRIMS,none,,matching,none,none,,,,,none,seams,#604,0,1,1,0
108,L1,L1-102-17_WINDSOR_TRIMS,none,,matching,none,none,,,,,none,topstitch,none,0,1,1,0
109,L1,L1-102-17_WINDSOR_TRIMS,none,,matching,none,none,,,,,none,bartacks,none,0,1,1,0
110,L1,L1-102-17_WINDSOR_TRIMS,none,,matching,none,none,,,,,none,sleeve gaiter cover stitch,none,0,1,1,0
111,L1,L1-102-17_WINDSOR_TRIMS,amount,,colorway 1 ,colorway 2,colorway 3,,,,,description,marketing,ref number,0,1,1,0
112,L1,L1-102-17_WINDSOR_TRIMS,1,,l1 hang tag,none,none,,,,,l1 hang tag,left hand pocket zipper head,none,0,1,1,0
